t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,9247373342609996100,0.0,0.0,0.0,514187408,65.2,0,0.0,19.8,0,20788096.0,0.0,5197025,0,0.0,5197029,0.0,0.0,0.0,0,0,100.0,0,0
1,9247373342609996100,0.0,0.0,0.0,20245468,64.6,0,0.0,20.1,0,21127544.0,0.0,149199,0,0.0,5281888,0.0,0.0,0.0,0,0,100.0,0,0
2,9247373342609996100,0.0,0.0,0.0,20328548,64.1,0,0.0,20.4,0,21410436.0,0.0,119406,0,0.0,5352609,0.0,0.0,0.0,0,0,100.0,0,0
3,9247373342609996100,0.0,0.0,0.0,20382920,63.7,0,0.0,20.7,0,21663876.0,0.0,109227,0,0.0,5415969,0.0,0.0,0.0,0,0,100.0,0,0
4,9247373342609996100,0.0,0.0,0.0,20394018,63.2,0,0.0,20.9,0,21943312.0,0.0,123748,0,0.0,5485829,0.0,0.0,0.0,0,0,100.0,0,0
5,9247373342609996100,0.0,0.0,0.0,20413636,62.7,0,0.0,21.2,0,22247548.0,0.0,128020,0,0.0,5561888,0.0,0.0,0.0,0,0,100.0,0,0
6,9247373342609996100,0.0,0.0,0.0,20386664,62.3,0,0.0,21.5,0,22501268.0,0.0,109358,0,0.0,5625317,0.0,0.0,0.0,0,0,100.0,0,0
7,9247373342609996100,0.0,0.0,0.0,20361481,61.8,0,0.0,21.7,0,22759880.0,0.0,115372,0,0.0,5689972,0.0,0.0,0.0,0,0,100.0,0,0
8,9247373342609996100,0.0,0.0,0.0,20396835,61.3,0,0.0,22.0,0,23061348.0,0.0,129888,0,0.0,5765338,0.0,0.0,0.0,0,0,100.0,0,0
9,9247373342609996100,0.0,0.0,0.0,20429908,60.9,0,0.0,22.3,0,23335448.0,0.0,115743,0,0.0,5833862,0.0,0.0,0.0,0,0,100.0,0,0
10,9247373342609996100,0.0,0.0,0.0,20379904,60.5,0,0.0,22.5,0,23579772.0,0.0,108084,0,0.0,5894944,0.0,0.0,0.0,0,0,100.0,0,0
11,9247373342609996100,0.0,0.0,0.0,20393676,60.0,0,0.0,22.8,0,23879060.0,0.0,129638,0,0.0,5969765,0.0,0.0,0.0,0,0,100.0,0,0
12,9247373342609996100,0.0,0.0,0.0,20411323,59.5,0,0.0,23.0,0,24162280.0,0.0,120972,0,0.0,6040572,0.0,0.0,0.0,0,0,100.0,0,0
13,9247373342609996100,0.0,0.0,0.0,20388008,59.1,0,0.0,23.3,0,24414440.0,0.0,107697,0,0.0,6103610,0.0,0.0,0.0,0,0,100.0,0,0
14,9247373342609996100,0.0,0.0,0.0,20346897,58.6,0,0.0,23.5,0,24689656.0,0.0,122690,0,0.0,6172415,0.0,0.0,0.0,0,0,100.0,0,0
15,9247373342609996100,0.0,0.0,0.0,20400151,58.1,0,0.0,23.8,0,24972284.0,0.0,122448,0,0.0,6243073,0.0,0.0,0.0,0,0,100.0,0,0
16,9247373342609996100,0.0,0.0,0.0,20433761,57.7,0,0.0,24.1,0,25242964.0,0.0,114008,0,0.0,6310741,0.0,0.0,0.0,0,0,100.0,0,0
17,9247373342609996100,0.0,0.0,0.0,20357875,57.2,0,0.0,24.3,0,25501996.0,0.0,115565,0,0.0,6375501,0.0,0.0,0.0,0,0,100.0,0,0
