Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6637
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 17107      | 99.9356- | 3.284713 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 12.7     | 12.7     | 19.8     | 1016     |
| 1   | 271785     | 98.8921- | 3.266967 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.6      | 0.6      | 20.1     | 3        |
| 2   | 246798     | 97.4708- | 3.292320 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 20.4     | 2        |
| 3   | 232354     | 97.5167- | 3.262014 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 20.7     | 3        |
| 4   | 214422     | 97.5604- | 3.251831 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 21.0     | 2        |
| 5   | 214976     | 97.5606- | 3.292472 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 21.2     | 3        |
| 6   | 246392     | 97.5538- | 3.258838 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 21.5     | 2        |
| 7   | 233400     | 97.5449- | 3.155134 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 21.8     | 3        |
| 8   | 213422     | 97.5513- | 3.309956 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 22.0     | 2        |
| 9   | 214367     | 97.5266- | 3.303261 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 22.3     | 3        |
| 10  | 247450     | 97.4669- | 3.314162 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 22.6     | 2        |
| 11  | 234135     | 97.5894- | 3.295954 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 22.8     | 3        |
| 12  | 208000     | 97.5764- | 3.222054 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 23.1     | 2        |
| 13  | 214887     | 97.4958- | 3.319026 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 23.3     | 3        |
| 14  | 245025     | 97.5386- | 3.340145 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 23.6     | 2        |
| 15  | 234268     | 97.5092- | 3.293346 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 23.9     | 3        |
| 16  | 206944     | 97.5838- | 3.253796 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 24.1     | 2        |
| 17  | 215186     | 97.5732- | 3.274149 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 24.4     | 3        |
| 18  | 244849     | 97.5580- | 3.324147 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 24.7     | 2        |
| 19  | 236298     | 97.4934- | 3.226758 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 24.9     | 3        |
| 20  | 205525     | 97.4898- | 3.287359 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 25.2     | 2        |
| 21  | 216142     | 97.4720- | 3.332394 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 25.4     | 3        |
| 22  | 243748     | 97.5765- | 3.207770 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 25.8     | 2        |
| 23  | 238000     | 97.5277- | 3.229610 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 26.0     | 3        |
| 24  | 204837     | 97.5966- | 3.216250 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 26.3     | 2        |
| 25  | 215813     | 97.6141- | 3.222870 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 26.5     | 3        |
| 26  | 244109     | 97.4875- | 3.312829 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 26.8     | 2        |
| 27  | 236660     | 97.5310- | 3.240974 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 27.1     | 3        |
| 28  | 203062     | 97.5396- | 3.324065 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 27.3     | 2        |
| 29  | 217052     | 97.5231- | 3.197292 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 27.5     | 3        |
| 30  | 244069     | 97.5207- | 3.196008 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 27.9     | 2        |
| 31  | 237702     | 97.5873- | 3.186628 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 28.1     | 3        |
| 32  | 201968     | 97.5179- | 3.249326 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 28.4     | 2        |
| 33  | 217939     | 97.4667- | 3.256464 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 28.6     | 3        |
| 34  | 243513     | 97.4650- | 3.316830 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 28.9     | 2        |
| 35  | 239201     | 97.5627- | 3.259713 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 29.2     | 3        |
| 36  | 200635     | 97.5288- | 3.207209 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 29.4     | 2        |
| 37  | 217649     | 97.4913- | 3.365464 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 29.7     | 3        |
| 38  | 243698     | 97.4985- | 3.281011 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 30.0     | 2        |
| 39  | 240176     | 97.5763- | 3.346976 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 30.2     | 3        |
| 40  | 198970     | 97.5785- | 3.284450 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 30.5     | 2        |
| 41  | 218453     | 97.4914- | 3.186020 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 30.7     | 3        |
| 42  | 244849     | 97.5225- | 3.292836 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 31.1     | 2        |
| 43  | 240973     | 97.5337- | 3.302140 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 31.3     | 3        |
| 44  | 197134     | 97.5493- | 3.322086 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 31.6     | 2        |
| 45  | 218061     | 97.3897- | 3.402129 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 31.8     | 3        |
| 46  | 243913     | 97.3732- | 3.269008 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 32.1     | 2        |
| 47  | 243129     | 97.4729- | 3.334195 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 32.4     | 3        |
| 48  | 196004     | 97.3980- | 3.324389 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 32.6     | 2        |
| 49  | 218748     | 97.5780- | 3.241388 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 32.8     | 3        |
| 50  | 245769     | 97.3605- | 3.256167 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 33.2     | 2        |
| 51  | 244968     | 97.5168- | 3.252713 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 33.4     | 3        |
| 52  | 193823     | 97.5364- | 3.259730 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 33.7     | 2        |
| 53  | 217519     | 97.5050- | 3.308559 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 33.9     | 3        |
| 54  | 244868     | 97.5488- | 3.259732 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 34.2     | 2        |
| 55  | 244244     | 97.4803- | 3.212972 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 34.5     | 3        |
| 56  | 193755     | 97.3951- | 3.325999 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 34.7     | 2        |
| 57  | 219000     | 97.4767- | 3.347530 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 35.0     | 3        |
| 58  | 244603     | 97.4636- | 3.267356 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 35.3     | 2        |
| 59  | 246821     | 97.4888- | 3.214283 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 35.5     | 3        |
| 60  | 192012     | 97.4959- | 3.266077 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 35.8     | 2        |
| 61  | 219620     | 97.5776- | 3.283482 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 36.0     | 3        |
| 62  | 245900     | 97.4936- | 3.266668 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.4      | 36.4     | 2        |
| 63  | 246378     | 97.5188- | 3.378524 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.5      | 0.6      | 36.6     | 3        |
| 64  | 190709     | 97.5328- | 3.221403 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 40.0000- | 0.4      | 0.4      | 36.9     | 2        |
