t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,3382,0.0,0,0,0.0,100.0,0,0,0,0,2,0,13,0,0,0.0,0,0,12.6,0,-nan,12.8,0,53342,547039,-nan,0,894,0.0,0,0
1,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,20958,0.0,0,0,0.2,99.8,0,0,0,0,91727,0,3427,0,0,0.0,0,0,0.7,0,-nan,0.8,0,362087,3485922,-nan,0,2,0.0,0,0
2,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,11205,0.0,0,0,0.3,99.7,0,0,0,0,282637,0,5011,0,0,0.0,0,0,0.7,0,-nan,0.4,0,195389,2550211,-nan,0,2,0.0,0,0
3,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,15258,0.0,0,0,0.3,99.7,0,0,0,0,178867,0,6933,0,0,0.0,0,0,0.3,0,-nan,0.6,0,277934,2626204,-nan,0,1,0.0,0,0
4,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,9967,0.0,0,0,0.3,99.7,0,0,0,0,312147,0,4607,0,0,0.0,0,0,0.7,0,-nan,0.4,0,183495,2388545,-nan,0,2,0.0,0,0
5,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,16984,0.0,0,0,0.3,99.7,0,0,0,0,143083,0,7700,0,0,0.0,0,0,0.4,0,-nan,0.6,0,304108,2712131,-nan,0,1,0.0,0,0
6,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,13697,0.0,0,0,0.3,99.7,0,0,0,0,329845,0,6084,0,0,0.0,0,0,0.7,0,-nan,0.5,0,240627,3186733,-nan,0,2,0.0,0,0
7,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,14173,0.0,0,0,0.3,99.7,0,0,0,0,153934,0,6409,0,0,0.0,0,0,0.3,0,-nan,0.5,0,252114,2103014,-nan,0,1,0.0,0,0
8,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,11173,0.0,0,0,0.3,99.7,0,0,0,0,333223,0,5320,0,0,0.0,0,0,0.7,0,-nan,0.4,0,210802,2920737,-nan,0,2,0.0,0,0
9,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,14292,0.0,0,0,0.3,99.7,0,0,0,0,130371,0,6270,0,0,0.0,0,0,0.4,0,-nan,0.5,0,251658,2053366,-nan,0,1,0.0,0,0
