t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,3832,33.3,0,0,0.0,66.7,0,0,0,0,1,0,1,0,0,0.0,0,0,12.8,0,-nan,12.8,0,80082,39,-nan,0,53,0.0,0,0
1,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,20207,10.6,0,0,0.0,89.4,0,0,0,0,0,0,0,0,0,0.0,0,0,0.7,0,-nan,0.8,0,363030,4738807,-nan,0,3,0.0,0,0
2,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,30169,13.1,0,0,0.4,86.5,0,0,0,0,354506,0,4798,0,0,0.0,0,0,0.7,0,-nan,1.0,0,451548,4273175,-nan,0,1,0.0,0,0
3,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,2016,-nan,0,0,-nan,-nan,0,0,0,0,0,0,584,0,0,0.0,0,0,0.3,0,-nan,0.0,0,22285,12,-nan,0,0,0.0,0,0
4,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,15100,29.1,0,0,0.1,70.8,0,0,0,0,357028,0,5930,0,0,0.0,0,0,0.3,0,-nan,0.5,0,230078,3353252,-nan,0,1,0.0,0,0
5,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,24363,18.6,0,0,0.4,80.9,0,0,0,0,206928,0,8689,0,0,0.0,0,0,0.8,0,-nan,0.7,0,346923,2617516,-nan,0,1,0.0,0,0
6,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,17992,15.9,0,0,0.2,83.9,0,0,0,0,326007,0,6930,0,0,0.0,0,0,0.6,0,-nan,0.6,0,273131,3417439,-nan,0,1,0.0,0,0
7,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,20482,19.4,0,0,0.3,80.4,0,0,0,0,224780,0,7798,0,0,0.0,0,0,0.8,0,-nan,0.6,0,298155,3215203,-nan,0,1,0.0,0,0
8,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,4271,17.0,0,0,0.2,82.8,0,0,0,0,374927,0,1202,0,0,0.0,0,0,0.1,0,-nan,0.1,0,48631,1170614,-nan,0,1,0.0,0,0
9,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,26487,15.7,0,0,0.3,84.0,0,0,0,0,256597,0,9819,0,0,0.0,0,0,0.6,0,-nan,0.8,0,379119,4253695,-nan,0,1,0.0,0,0
10,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,13658,-nan,0,0,-nan,-nan,0,0,0,0,0,0,4704,0,0,0.0,0,0,0.6,0,-nan,0.4,0,194255,1164824,-nan,0,0,0.0,0,0
11,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,22813,18.1,0,0,0.2,81.8,0,0,0,0,357547,0,8655,0,0,0.0,0,0,0.4,0,-nan,0.7,0,339546,3728771,-nan,0,1,0.0,0,0
12,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,16872,16.4,0,0,0.4,83.2,0,0,0,0,218507,0,5965,0,0,0.0,0,0,0.9,0,-nan,0.5,0,236413,2527218,-nan,0,1,0.0,0,0
13,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,5075,20.7,0,0,0.1,79.2,0,0,0,0,369059,0,1966,0,0,0.0,0,0,0.4,0,-nan,0.2,0,75757,1843659,-nan,0,1,0.0,0,0
14,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,30425,15.0,0,0,0.4,84.6,0,0,0,0,180679,0,11633,0,0,0.0,0,0,0.9,0,-nan,1.0,0,458102,3834021,-nan,0,1,0.0,0,0
15,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,4103,-nan,0,0,-nan,-nan,0,0,0,0,0,0,1059,0,0,0.0,0,0,0.0,0,-nan,0.1,0,39592,5,-nan,0,0,0.0,0,0
16,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,22120,17.9,0,0,0.1,82.0,0,0,0,0,405301,0,8938,0,0,0.0,0,0,0.4,0,-nan,0.7,0,350948,4409474,-nan,0,1,0.0,0,0
17,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,15169,17.1,0,0,0.4,82.6,0,0,0,0,206145,0,5801,0,0,0.0,0,0,1.0,0,-nan,0.5,0,226348,2188604,-nan,0,1,0.0,0,0
18,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,4922,19.6,0,0,0.1,80.2,0,0,0,0,388470,0,1886,0,0,0.0,0,0,0.3,0,-nan,0.2,0,77090,2145238,-nan,0,1,0.0,0,0
19,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,32187,12.2,0,0,0.5,87.3,0,0,0,0,169765,0,11655,0,0,0.0,0,0,0.7,0,-nan,1.0,0,471821,4412724,-nan,0,1,0.0,0,0
20,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,4053,17.8,0,0,0.2,82.1,0,0,0,0,281120,0,1383,0,0,0.0,0,0,0.2,0,-nan,0.1,0,52483,1391362,-nan,0,1,0.0,0,0
21,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,25010,20.0,0,0,0.3,79.8,0,0,0,0,297647,0,9408,0,0,0.0,0,0,0.7,0,-nan,0.8,0,370080,4003418,-nan,0,1,0.0,0,0
22,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,13159,-nan,0,0,-nan,-nan,0,0,0,0,0,0,4481,0,0,0.0,0,0,0.5,0,-nan,0.4,0,184040,884383,-nan,0,0,0.0,0,0
23,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,22574,19.0,0,0,0.2,80.8,0,0,0,0,293862,0,8560,0,0,0.0,0,0,0.5,0,-nan,0.7,0,330443,3742859,-nan,0,1,0.0,0,0
24,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,17492,15.8,0,0,0.3,83.8,0,0,0,0,283757,0,6526,0,0,0.0,0,0,0.9,0,-nan,0.5,0,248241,2456373,-nan,0,1,0.0,0,0
25,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,6675,23.3,0,0,0.1,76.6,0,0,0,0,377476,0,2705,0,0,0.0,0,0,0.4,0,-nan,0.2,0,107589,2405854,-nan,0,1,0.0,0,0
26,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,28964,17.1,0,0,0.4,82.6,0,0,0,0,219359,0,11354,0,0,0.0,0,0,0.6,0,-nan,0.9,0,448163,3755912,-nan,0,1,0.0,0,0
27,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,2311,-nan,0,0,-nan,-nan,0,0,0,0,0,0,577,0,0,0.0,0,0,0.3,0,-nan,0.0,0,22320,8,-nan,0,0,0.0,0,0
28,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,24920,47.0,0,0,0.1,52.9,0,0,0,0,352552,0,8896,0,0,0.0,0,0,0.4,0,-nan,0.8,0,372212,3719576,-nan,0,1,0.0,0,0
29,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,19589,36.2,0,0,0.3,63.4,0,0,0,0,225763,0,6836,0,0,0.0,0,0,1.0,0,-nan,0.6,0,268541,3631728,-nan,0,1,0.0,0,0
30,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,6716,32.3,0,0,0.2,67.6,0,0,0,0,410621,0,2541,0,0,0.0,0,0,0.2,0,-nan,0.2,0,101272,2118599,-nan,0,1,0.0,0,0
31,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,32976,37.2,0,0,0.3,62.5,0,0,0,0,232076,0,12357,0,0,0.0,0,0,0.8,0,-nan,1.0,0,482130,4730174,-nan,0,1,0.0,0,0
32,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,4188,-nan,0,0,-nan,-nan,0,0,0,0,0,0,1316,0,0,0.0,0,0,0.3,0,-nan,0.1,0,49109,73,-nan,0,0,0.0,0,0
33,474124367391209757,0,0,0,0,0,0,0,0,0,0,0,19637,20.1,0,0,0.2,79.7,0,0,0,0,608770,0,7865,0,0,0.0,0,0,0.3,0,-nan,0.7,0,307874,4192287,-nan,0,2,0.0,0,0
