t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,5609919650052318505,0.0,0.0,0.0,526580368,65.2,0,0.0,19.8,0,20783124.0,0.0,5195783,0,0.0,5195783,0.0,0.0,0.0,0,0,100.0,0,0
1,5609919650052318505,0.0,0.0,0.0,18406468,64.4,0,0.0,20.3,0,21258552.0,0.0,199229,0,0.0,5314638,0.0,0.0,0.0,0,0,100.0,0,0
2,5609919650052318505,0.0,0.0,0.0,18344928,63.9,0,0.0,20.6,0,21551436.0,0.0,128619,0,0.0,5387859,0.0,0.0,0.0,0,0,100.0,0,0
3,5609919650052318505,0.0,0.0,0.0,18382107,63.5,0,0.0,20.8,0,21763456.0,0.0,96378,0,0.0,5440866,0.0,0.0,0.0,0,0,100.0,0,0
4,5609919650052318505,0.0,0.0,0.0,18510493,63.0,0,0.0,21.0,0,22043288.0,0.0,109337,0,0.0,5510822,0.0,0.0,0.0,0,0,100.0,0,0
5,5609919650052318505,0.0,0.0,0.0,18372731,62.7,0,0.0,21.2,0,22262240.0,0.0,105499,0,0.0,5565560,0.0,0.0,0.0,0,0,100.0,0,0
6,5609919650052318505,0.0,0.0,0.0,18567414,62.3,0,0.0,21.5,0,22495920.0,0.0,81991,0,0.0,5623980,0.0,0.0,0.0,0,0,100.0,0,0
7,5609919650052318505,0.0,0.0,0.0,18406406,61.8,0,0.0,21.7,0,22801148.0,0.0,131188,0,0.0,5700287,0.0,0.0,0.0,0,0,100.0,0,0
8,5609919650052318505,0.0,0.0,0.0,18344181,61.3,0,0.0,22.0,0,23095708.0,0.0,131416,0,0.0,5773927,0.0,0.0,0.0,0,0,100.0,0,0
9,5609919650052318505,0.0,0.0,0.0,18352493,60.8,0,0.0,22.3,0,23394656.0,0.0,130434,0,0.0,5848664,0.0,0.0,0.0,0,0,100.0,0,0
10,5609919650052318505,0.0,0.0,0.0,18476806,60.3,0,0.0,22.6,0,23693812.0,0.0,127908,0,0.0,5923453,0.0,0.0,0.0,0,0,100.0,0,0
11,5609919650052318505,0.0,0.0,0.0,19069841,59.8,0,0.0,22.9,0,23981072.0,0.0,124708,0,0.0,5995268,0.0,0.0,0.0,0,0,100.0,0,0
12,5609919650052318505,0.0,0.0,0.0,19071548,59.4,0,0.0,23.1,0,24198596.0,0.0,109767,0,0.0,6049656,0.0,0.0,0.0,0,0,100.0,0,0
13,5609919650052318505,0.0,0.0,0.0,19292510,59.1,0,0.0,23.3,0,24424880.0,0.0,98088,0,0.0,6106220,0.0,0.0,0.0,0,0,100.0,0,0
14,5609919650052318505,0.0,0.0,0.0,19388462,58.6,0,0.0,23.6,0,24724272.0,0.0,120524,0,0.0,6181074,0.0,0.0,0.0,0,0,100.0,0,0
15,5609919650052318505,0.0,0.0,0.0,19381145,58.4,0,0.0,23.7,0,24836668.0,0.0,57696,0,0.0,6209171,0.0,0.0,0.0,0,0,100.0,0,0
16,5609919650052318505,0.0,0.0,0.0,19394011,57.8,0,0.0,24.0,0,25155768.0,0.0,123332,0,0.0,6288942,0.0,0.0,0.0,0,0,100.0,0,0
17,5609919650052318505,0.0,0.0,0.0,19220828,57.3,0,0.0,24.3,0,25452984.0,0.0,126787,0,0.0,6363246,0.0,0.0,0.0,0,0,100.0,0,0
18,5609919650052318505,0.0,0.0,0.0,19213539,56.8,0,0.0,24.6,0,25744324.0,0.0,125625,0,0.0,6436081,0.0,0.0,0.0,0,0,100.0,0,0
19,5609919650052318505,0.0,0.0,0.0,19128299,56.3,0,0.0,24.8,0,26054148.0,0.0,129095,0,0.0,6513537,0.0,0.0,0.0,0,0,100.0,0,0
20,5609919650052318505,0.0,0.0,0.0,18886491,55.8,0,0.0,25.1,0,26351668.0,0.0,129340,0,0.0,6587917,0.0,0.0,0.0,0,0,100.0,0,0
21,5609919650052318505,0.0,0.0,0.0,18907069,55.4,0,0.0,25.4,0,26628104.0,0.0,125534,0,0.0,6657029,0.0,0.0,0.0,0,0,100.0,0,0
22,5609919650052318505,0.0,0.0,0.0,18985089,55.0,0,0.0,25.6,0,26836740.0,0.0,104457,0,0.0,6709190,0.0,0.0,0.0,0,0,100.0,0,0
23,5609919650052318505,0.0,0.0,0.0,19187066,54.6,0,0.0,25.8,0,27075252.0,0.0,96146,0,0.0,6768815,0.0,0.0,0.0,0,0,100.0,0,0
24,5609919650052318505,0.0,0.0,0.0,19128038,54.3,0,0.0,26.0,0,27248448.0,0.0,84041,0,0.0,6812115,0.0,0.0,0.0,0,0,100.0,0,0
25,5609919650052318505,0.0,0.0,0.0,19151381,53.9,0,0.0,26.2,0,27522476.0,0.0,99861,0,0.0,6880619,0.0,0.0,0.0,0,0,100.0,0,0
26,5609919650052318505,0.0,0.0,0.0,18377357,53.4,0,0.0,26.5,0,27805652.0,0.0,125935,0,0.0,6951413,0.0,0.0,0.0,0,0,100.0,0,0
27,5609919650052318505,0.0,0.0,0.0,18384623,52.9,0,0.0,26.8,0,28103880.0,0.0,128878,0,0.0,7025970,0.0,0.0,0.0,0,0,100.0,0,0
28,5609919650052318505,0.0,0.0,0.0,18390755,52.4,0,0.0,27.1,0,28412652.0,0.0,128390,0,0.0,7103163,0.0,0.0,0.0,0,0,100.0,0,0
29,5609919650052318505,0.0,0.0,0.0,18397015,51.9,0,0.0,27.4,0,28693584.0,0.0,126966,0,0.0,7173396,0.0,0.0,0.0,0,0,100.0,0,0
30,5609919650052318505,0.0,0.0,0.0,18417457,51.6,0,0.0,27.6,0,28898240.0,0.0,104274,0,0.0,7224562,0.0,0.0,0.0,0,0,100.0,0,0
31,5609919650052318505,0.0,0.0,0.0,18407050,51.1,0,0.0,27.8,0,29151840.0,0.0,97032,0,0.0,7287960,0.0,0.0,0.0,0,0,100.0,0,0
32,5609919650052318505,0.0,0.0,0.0,18393722,50.7,0,0.0,28.0,0,29410588.0,0.0,119798,0,0.0,7352650,0.0,0.0,0.0,0,0,100.0,0,0
33,5609919650052318505,0.0,0.0,0.0,18526965,50.4,0,0.0,28.2,0,29569896.0,0.0,74377,0,0.0,7392472,0.0,0.0,0.0,0,0,100.0,0,0
34,5609919650052318505,0.0,0.0,0.0,18562396,49.9,0,0.0,28.5,0,29858988.0,0.0,113364,0,0.0,7464747,0.0,0.0,0.0,0,0,100.0,0,0
35,5609919650052318505,0.0,0.0,0.0,18380337,49.4,0,0.0,28.8,0,30158436.0,0.0,126308,0,0.0,7539609,0.0,0.0,0.0,0,0,100.0,0,0
36,5609919650052318505,0.0,0.0,0.0,18517820,48.9,0,0.0,29.1,0,30462324.0,0.0,132605,0,0.0,7615581,0.0,0.0,0.0,0,0,100.0,0,0
