t,c_hash,key,GHz,CPU,IPC
0,11412778630104839040,pp_3,1.0,-0.0,1.0
0,11412778630104839040,pp_2,1.0,-0.0,1.0
0,11412778630104839040,pp_1,1.0,-0.0,1.0
0,11412778630104839040,pp_0,1.0,-0.0,1.0
0,11412778630104839040,group_committer,1.0,-0.0,1.0
0,11412778630104839040,worker_81,1.0,-0.0,1.0
0,11412778630104839040,worker_89,1.0,-0.0,1.0
0,11412778630104839040,worker_87,1.0,-0.0,1.0
0,11412778630104839040,worker_86,1.0,-0.0,1.0
0,11412778630104839040,worker_88,1.0,-0.0,1.0
0,11412778630104839040,worker_84,1.0,-0.0,1.0
0,11412778630104839040,worker_85,1.0,-0.0,1.0
0,11412778630104839040,worker_82,1.0,-0.0,1.0
0,11412778630104839040,worker_83,1.0,-0.0,1.0
0,11412778630104839040,worker_80,1.0,-0.0,1.0
0,11412778630104839040,worker_79,1.0,-0.0,1.0
0,11412778630104839040,worker_78,1.0,-0.0,1.0
0,11412778630104839040,worker_77,1.0,-0.0,1.0
0,11412778630104839040,worker_76,1.0,-0.0,1.0
0,11412778630104839040,worker_75,1.0,-0.0,1.0
0,11412778630104839040,worker_74,1.0,-0.0,1.0
0,11412778630104839040,worker_64,1.0,-0.0,1.0
0,11412778630104839040,worker_71,1.0,-0.0,1.0
0,11412778630104839040,worker_70,1.0,-0.0,1.0
0,11412778630104839040,worker_69,1.0,-0.0,1.0
0,11412778630104839040,worker_68,1.0,-0.0,1.0
0,11412778630104839040,worker_67,1.0,-0.0,1.0
0,11412778630104839040,worker_66,1.0,-0.0,1.0
0,11412778630104839040,worker_65,1.0,-0.0,1.0
0,11412778630104839040,worker_73,1.0,-0.0,1.0
0,11412778630104839040,worker_72,1.0,-0.0,1.0
0,11412778630104839040,worker_56,1.0,-0.0,1.0
0,11412778630104839040,worker_45,1.0,-0.0,1.0
0,11412778630104839040,worker_61,1.0,-0.0,1.0
0,11412778630104839040,worker_60,1.0,-0.0,1.0
0,11412778630104839040,worker_50,1.0,-0.0,1.0
0,11412778630104839040,worker_35,1.0,-0.0,1.0
