t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,4972287705240586186,0.0,285.3,0.0,2573611356,0.2,1932545,5105981917538.2,14.5,0,15182284.0,0.0,5218954,429860,285.2,3795571,0.0,0.0,12.2,0,2012972,100.0,0,0
1,4972287705240586186,37.2,11.3,0.0,500,0.0,29682,2385447824804982.0,14.5,0,15180084.0,0.0,26019,12172,11.3,3795021,0.0,0.0,24.0,0,32641,100.0,0,0
2,4972287705240586186,5.5,3.5,0.0,164,0.0,9791,2847947093192871.0,14.5,0,15176812.0,0.0,7425,3976,3.5,3794203,0.0,0.0,23.9,0,10689,100.0,0,0
3,4972287705240586186,7.7,5.4,0.0,243,0.0,14494,16877738026550526.0,14.5,0,15174056.0,0.0,11628,5986,5.4,3793514,0.0,0.0,23.3,0,15873,100.0,0,0
4,4972287705240586186,5.1,3.3,0.0,157,0.0,9378,2938428490137874.0,14.5,0,15174236.0,0.0,8395,3928,3.3,3793559,0.0,0.0,14.6,0,10230,100.0,0,0
5,4972287705240586186,11.1,17.0,0.0,809,0.4,48303,2667766318415304.0,14.4,0,15120316.0,0.0,19800,20520,17.0,3780079,0.0,0.0,25.9,0,52784,100.0,0,0
6,4972287705240586186,3.9,6.0,0.0,300,0.6,17908,4200248730369092.0,14.4,0,15100320.0,0.0,7456,7684,6.0,3775080,0.0,0.0,25.2,0,19577,100.0,0,0
7,4972287705240586186,13.2,5.7,0.0,283,0.3,16908,5275483356871755.0,14.4,0,15130624.0,0.0,27432,7287,5.7,3782656,0.0,0.0,25.8,0,18469,100.0,0,0
8,4972287705240586186,9.0,2.4,0.0,118,0.0,7006,10811187901410076.0,14.5,0,15168004.0,0.0,21740,3047,2.4,3792001,0.0,0.0,27.5,0,7629,100.0,0,0
9,4972287705240586186,0.3,0.3,0.0,14,0.0,904,3728630353698279.5,14.5,0,15167976.0,0.0,778,409,0.3,3791994,0.0,0.0,0.4,0,977,100.0,0,0
10,4972287705240586186,4.0,3.6,0.0,189,0.0,11399,18389660877766608.0,14.5,0,15167540.0,0.0,9838,4938,3.6,3791885,0.0,0.0,26.9,0,12327,100.0,0,0
11,4972287705240586186,5.7,5.8,0.0,305,0.0,18375,2554120264260330.5,14.5,0,15167668.0,0.0,16022,8041,5.8,3791917,0.0,0.0,26.2,0,19891,100.0,0,0
12,4972287705240586186,2.2,2.3,0.0,119,0.0,7182,8786890418818044.0,14.5,0,15167788.0,0.0,6214,3149,2.3,3791947,0.0,0.0,29.0,0,7775,100.0,0,0
13,4972287705240586186,5.2,5.6,0.0,301,0.0,18215,3334751801937813.0,14.5,0,15165720.0,0.0,14739,8018,5.6,3791431,0.0,0.0,27.1,0,19658,100.0,0,0
14,4972287705240586186,5.2,5.4,0.0,281,0.0,16926,5101730371404623.0,14.5,0,15168352.0,0.0,15569,7463,5.4,3792088,0.0,0.0,27.2,0,18338,100.0,0,0
15,4972287705240586186,7.8,9.6,0.0,489,0.0,29397,1813174591878097.0,14.5,0,15166472.0,0.0,23885,13190,9.6,3791618,0.0,0.0,27.2,0,31884,100.0,0,0
16,4972287705240586186,3.0,3.2,0.0,154,0.0,9235,3431262939047277.5,14.5,0,15170460.0,0.0,9358,4162,3.2,3792615,0.0,0.0,26.7,0,10051,100.0,0,0
17,4972287705240586186,7.3,15.2,0.0,781,0.3,46992,3125542216574524.5,14.4,0,15133952.0,0.0,23253,21465,15.2,3783488,0.0,0.0,26.7,0,50989,100.0,0,0
18,4972287705240586186,5.8,6.2,0.0,329,0.3,19811,1791834070101330.5,14.4,0,15139808.0,0.0,19091,9094,6.3,3784952,0.0,0.0,27.7,0,21493,100.0,0,0
19,4972287705240586186,8.0,4.9,0.0,231,0.0,13779,10478210787289564.0,14.5,0,15175956.0,0.0,26787,6382,4.9,3793989,0.0,0.0,27.4,0,15059,100.0,0,0
20,4972287705240586186,3.9,5.3,0.0,274,0.0,16492,6336612017627910.0,14.5,0,15175976.0,0.0,13427,7648,5.4,3793994,0.0,0.0,29.0,0,17879,100.0,0,0
21,4972287705240586186,2.6,3.5,0.0,192,0.0,11704,19133457249689660.0,14.5,0,15174748.0,0.0,9078,5438,3.5,3793687,0.0,0.0,27.8,0,12598,100.0,0,0
22,4972287705240586186,7.2,9.1,0.0,474,0.0,28529,3065311355496364.0,14.5,0,15180380.0,0.0,25603,13317,9.1,3795095,0.0,0.0,27.3,0,30920,100.0,0,0
23,4972287705240586186,1.6,2.4,0.0,121,0.0,7251,8310669150207945.0,14.5,0,15181272.0,0.0,5932,3547,2.4,3795318,0.0,0.0,24.8,0,7877,100.0,0,0
24,4972287705240586186,4.2,6.2,0.0,307,0.0,18444,2867266435770940.0,14.5,0,15182972.0,0.0,15571,8831,6.2,3795744,0.0,0.0,27.3,0,20037,100.0,0,0
25,4972287705240586186,2.2,3.5,0.0,167,0.0,9934,1303338777925188.5,14.5,0,15184396.0,0.0,8450,4783,3.5,3796098,0.0,0.0,28.4,0,10833,100.0,0,0
26,4972287705240586186,5.2,8.2,0.0,407,0.0,24526,6057259392877591.0,14.5,0,15186212.0,0.0,20120,11718,8.2,3796553,0.0,0.0,27.6,0,26639,100.0,0,0
27,4972287705240586186,3.4,5.1,0.0,261,0.0,15676,6763124939206213.0,14.5,0,15188092.0,0.0,13116,7663,5.1,3797022,0.0,0.0,30.9,0,16982,100.0,0,0
28,4972287705240586186,1.2,1.8,0.0,86,0.0,5230,17715785627798356.0,14.5,0,15189924.0,0.0,4872,2504,1.7,3797481,0.0,0.0,28.6,0,5680,100.0,0,0
