t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,4972287705240586186,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,4972287705240586186,worker_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,4972287705240586186,pp_3,1.8,0.1,0.9,589496.0,1736220.0,130972092.0,66278849.0,82352536.0,1882643.0,146903395.0
1,4972287705240586186,pp_0,1.8,0.1,0.9,607147.0,1823222.0,135001518.0,69155840.0,85186090.0,1926596.0,152124067.0
1,4972287705240586186,pp_2,1.8,0.1,0.9,564519.0,1678314.0,127967948.0,62763706.0,80796097.0,1857466.0,143301553.0
1,4972287705240586186,pp_1,1.8,0.1,0.9,601594.0,1781805.0,134564404.0,68449564.0,84269412.0,1927498.0,150085747.0
1,4972287705240586186,group_committer,1.8,0.1,0.0,44484.3,7235280.6,5343049.0,3902043.9,80207277.0,5300440.9,145596347.9
1,4972287705240586186,worker_7,1.9,0.5,1.6,4430264.7,6831175.1,1435081730.0,57563441.2,469415898.0,10219028.7,872192753.1
1,4972287705240586186,worker_6,1.9,0.5,1.6,4361721.7,6685341.8,1370179360.7,54681236.4,458402575.0,9928542.9,859423473.3
1,4972287705240586186,worker_5,1.9,0.5,1.6,4368547.9,6707276.7,1360737432.3,58541828.8,456534876.0,9245179.3,850811815.6
1,4972287705240586186,worker_4,1.9,0.4,1.6,4114915.2,6421314.1,1296540454.2,57422443.4,438306524.0,9158894.9,827848284.0
1,4972287705240586186,worker_3,1.9,0.5,1.6,4623893.0,7104342.4,1385795233.9,54835126.6,473088748.0,10526915.5,889841725.3
1,4972287705240586186,worker_0,1.9,0.4,1.6,4300558.4,6564048.1,1393763951.0,55157300.2,451990057.0,10023744.3,861745675.4
1,4972287705240586186,worker_2,1.9,0.4,1.6,4189336.1,6525278.1,1328364307.2,54776495.4,440476687.0,9526044.1,826787437.5
1,4972287705240586186,worker_1,1.9,0.5,1.6,4264266.5,6681760.1,1364635564.2,56917103.9,463620328.0,9727282.0,864941649.4
2,4972287705240586186,pp_3,1.9,0.0,0.9,174892.0,529879.0,40679746.0,19207364.0,24590043.0,585377.0,46357557.0
2,4972287705240586186,pp_0,1.9,0.0,0.9,179105.0,539997.0,41706050.0,18500706.0,24748714.0,614015.0,47478184.0
2,4972287705240586186,pp_2,1.9,0.0,0.9,175317.0,539891.0,43655759.0,17455609.0,25106516.0,642699.0,47406994.0
2,4972287705240586186,pp_1,1.9,0.0,0.9,175146.0,510229.0,40333044.0,17933297.0,23827469.0,597743.0,45983296.0
2,4972287705240586186,group_committer,2.0,0.0,0.0,6637.3,2256872.7,841737.6,759895.2,23414333.0,1384658.6,46194618.1
2,4972287705240586186,worker_7,2.0,0.8,3.6,838230.8,2057380.7,5889104603.3,25714972.1,831395911.0,1768429.8,1654135597.9
2,4972287705240586186,worker_6,2.0,0.8,3.7,841244.5,1928031.5,6025586781.8,23325433.1,824654144.0,1654796.6,1639708006.2
2,4972287705240586186,worker_5,2.1,0.8,3.6,754635.2,1907357.9,6092633239.9,27066795.2,826060765.0,1516482.9,1700103664.8
2,4972287705240586186,worker_4,2.0,0.8,3.5,1349855.5,2487413.3,5679751858.7,37438732.7,830529319.0,1698822.0,1633783725.8
2,4972287705240586186,worker_3,2.0,0.8,2.0,4621072.6,7817600.9,3321202310.6,57070890.5,820196415.0,10308719.8,1625958083.8
2,4972287705240586186,worker_0,2.0,0.8,3.3,962694.0,2484195.7,5591702238.3,47872522.0,829893795.0,2157847.8,1695697542.4
2,4972287705240586186,worker_2,2.0,0.8,3.2,2172155.9,4004395.1,5407182919.8,39733382.8,841143190.0,4528874.9,1683133312.9
2,4972287705240586186,worker_1,2.0,0.8,2.8,3173264.9,6042929.0,4753074751.7,47661001.7,830471180.0,6497254.1,1685478681.3
3,4972287705240586186,pp_3,2.5,0.0,0.8,254853.0,807304.0,63280904.0,30431707.0,30967532.0,866360.0,76629625.0
3,4972287705240586186,pp_0,2.5,0.0,0.8,257792.0,800722.0,62283005.0,29144552.0,31104257.0,881381.0,76911347.0
3,4972287705240586186,pp_2,2.5,0.0,0.8,250451.0,781793.0,62761557.0,27930131.0,30499890.0,892851.0,75406801.0
3,4972287705240586186,pp_1,2.5,0.0,0.8,243747.0,760822.0,59095378.0,29223475.0,29603403.0,833999.0,73323186.0
3,4972287705240586186,group_committer,2.5,0.0,0.0,9248.5,2897558.1,1226463.7,1250751.6,26971764.0,1720595.0,68310551.5
3,4972287705240586186,worker_7,2.7,0.3,2.2,1815103.2,3062013.9,1605252859.7,22530499.1,275796478.0,3902745.6,743878591.0
3,4972287705240586186,worker_6,2.7,0.3,2.1,1876177.4,3060617.2,1525827513.2,23159868.6,274158230.0,4132034.6,732131633.8
3,4972287705240586186,worker_5,2.8,0.3,2.6,1773915.7,2695626.5,1966566390.8,18908543.2,271814057.0,3599728.2,748491771.7
3,4972287705240586186,worker_4,2.7,0.3,2.4,1920971.4,3044756.2,1820686868.1,18887006.8,281748876.0,4067139.1,771880109.3
3,4972287705240586186,worker_3,2.6,0.3,2.1,2143676.5,3599075.2,1572230906.8,28283901.8,286202188.0,4673242.4,755744954.1
3,4972287705240586186,worker_0,2.7,0.3,2.6,1378782.9,2486141.4,2025256376.5,19110523.4,283970902.0,2918864.3,778700443.6
3,4972287705240586186,worker_2,2.7,0.3,2.6,1816735.8,2875623.7,2032026095.1,18789509.1,291529643.0,4146835.5,778320602.3
3,4972287705240586186,worker_1,2.7,0.3,2.4,1687258.9,2833249.3,1657312575.4,25510337.8,264149809.0,3562878.3,700320331.0
4,4972287705240586186,pp_3,2.2,0.0,0.9,154071.0,491765.0,38998383.0,16826465.0,20724941.0,557355.0,45648095.0
4,4972287705240586186,pp_0,2.2,0.0,0.9,158148.0,481135.0,38556648.0,15813854.0,20138155.0,565840.0,44552412.0
4,4972287705240586186,pp_2,2.2,0.0,0.9,152071.0,479047.0,39280517.0,15341085.0,20008532.0,571281.0,43972413.0
4,4972287705240586186,pp_1,2.2,0.0,0.9,154913.0,479034.0,38392624.0,17204368.0,20394215.0,554755.0,45080193.0
4,4972287705240586186,group_committer,2.2,0.0,0.0,4320.0,1424210.0,607622.0,638642.0,13578087.0,777294.0,30211980.0
4,4972287705240586186,worker_7,2.1,0.8,3.7,1277077.6,2422336.1,6282265117.1,25909820.7,802287156.0,2595799.6,1715871863.1
4,4972287705240586186,worker_6,2.3,0.8,2.5,3943497.8,6772709.5,4663822365.1,39677552.9,814460402.0,8554849.6,1836413802.2
4,4972287705240586186,worker_5,2.1,0.7,3.8,593410.7,1456519.0,5841135434.8,20640182.1,745962565.0,1143134.8,1555706021.5
4,4972287705240586186,worker_4,2.2,0.8,2.8,874562.7,2478365.6,4924153586.5,32846907.3,804211529.0,1723597.9,1741766662.7
4,4972287705240586186,worker_3,2.1,0.8,3.7,944065.1,2148109.5,6294776422.8,24321475.6,813751458.0,2068538.1,1711586549.2
4,4972287705240586186,worker_0,2.1,0.8,3.5,786819.8,2781336.0,5748459911.2,34323793.5,761764611.0,1471355.6,1629184763.3
4,4972287705240586186,worker_2,2.1,0.8,3.6,1090203.6,2190514.4,5989042645.1,21285867.0,806756644.0,2025020.7,1665967178.3
4,4972287705240586186,worker_1,2.2,0.8,2.6,3478490.0,6109103.3,4616347742.2,41236454.6,800023592.0,7354162.5,1759098328.3
5,4972287705240586186,pp_3,1.3,0.1,1.0,798188.0,2517955.0,193083417.0,79870589.0,147470085.0,2687653.0,194269023.0
5,4972287705240586186,pp_0,1.3,0.2,1.0,848916.0,2718379.0,206721278.0,85345612.0,159085619.0,2849137.0,208259032.0
5,4972287705240586186,pp_2,1.3,0.2,1.0,813950.0,2607048.0,207221263.0,80649255.0,158312308.0,2915213.0,207018739.0
5,4972287705240586186,pp_1,1.3,0.2,1.0,853597.0,2705422.0,205510582.0,88036046.0,158305288.0,2853248.0,209038174.0
5,4972287705240586186,group_committer,1.5,0.0,0.1,7876.7,1259883.7,1224912.2,699586.3,12989383.0,960167.1,19287322.1
5,4972287705240586186,worker_7,1.6,0.8,2.3,3304806.1,5631585.2,3041981935.1,39485502.4,828109150.0,6853421.4,1303559137.6
5,4972287705240586186,worker_6,1.5,0.8,2.1,2819742.5,5154472.6,2672364227.3,40244283.7,837438110.0,5833700.9,1278029971.9
5,4972287705240586186,worker_5,1.5,0.8,2.1,3040865.5,5075953.0,2712164349.5,40512356.6,851415936.0,6256548.0,1312223958.3
5,4972287705240586186,worker_4,1.6,0.8,2.3,3244162.0,5514300.7,3029780793.2,36635883.4,842518866.0,6843239.9,1328376254.0
5,4972287705240586186,worker_3,1.6,0.8,2.5,2149866.9,4035171.5,3438655685.6,41829913.0,836125705.0,4571101.6,1376762209.2
5,4972287705240586186,worker_0,1.5,0.8,2.1,3883134.8,6618344.7,2669854982.2,45191572.0,839437033.0,8425276.0,1273529372.1
5,4972287705240586186,worker_2,1.6,0.8,2.3,2968706.1,5360169.2,3204781734.9,38569523.6,843136278.0,6326138.3,1373065752.7
5,4972287705240586186,worker_1,1.6,0.8,2.1,3145761.7,5523991.1,2827498192.3,34261978.1,846293695.0,6522563.2,1326504390.6
6,4972287705240586186,pp_3,1.3,0.1,0.9,332977.0,982637.0,75291348.0,32777862.0,61636668.0,1136374.0,81270029.0
6,4972287705240586186,pp_0,1.3,0.1,0.9,351371.0,1047267.0,77943446.0,34266711.0,65191066.0,1169116.0,85160847.0
6,4972287705240586186,pp_2,1.3,0.1,0.9,322526.0,958117.0,72138893.0,32564640.0,59511798.0,1092135.0,77794935.0
6,4972287705240586186,pp_1,1.3,0.1,0.9,342309.0,1013507.0,76649580.0,34089677.0,63598446.0,1158254.0,83090189.0
6,4972287705240586186,group_committer,1.4,0.1,0.0,21246.8,8098715.4,2246463.8,2528311.2,111189492.0,7081911.5,156272930.4
6,4972287705240586186,worker_7,1.3,0.9,4.8,1040540.4,1747044.4,5647937780.7,18211489.1,881764523.0,2370820.7,1178906474.2
6,4972287705240586186,worker_6,1.3,0.9,4.2,1643490.6,2803843.0,5415386121.5,20931032.3,954933572.0,3706341.1,1280518526.1
6,4972287705240586186,worker_5,1.4,0.9,5.0,848798.9,1480909.4,6275985589.8,16129777.8,925763435.0,1811628.1,1261774091.2
6,4972287705240586186,worker_4,1.4,0.9,4.0,3174731.8,5163722.7,5409227369.2,33347971.3,943895496.0,6862695.1,1346578379.3
6,4972287705240586186,worker_3,1.3,0.9,5.0,804334.8,1358549.1,6393497587.0,20634965.1,955262364.0,1824686.7,1276200776.1
6,4972287705240586186,worker_0,1.4,0.9,4.8,1843875.9,3032681.5,6307653067.1,23167820.2,935343682.0,3976136.9,1303552466.9
6,4972287705240586186,worker_2,1.4,0.9,1.8,5496568.6,8898337.2,2402059845.7,52260548.3,949552205.0,11560383.6,1356412340.9
6,4972287705240586186,worker_1,1.4,0.9,4.2,2441631.5,3828646.7,5509256994.9,44848049.5,932190091.0,5167572.7,1305665572.5
7,4972287705240586186,pp_3,1.2,0.1,0.9,367573.0,976651.0,71203441.0,36988086.0,67733420.0,1140043.0,81311981.0
7,4972287705240586186,pp_0,1.2,0.1,0.8,378456.0,1030701.0,72650376.0,40281100.0,71905621.0,1136523.0,85641068.0
7,4972287705240586186,pp_2,1.2,0.1,0.9,372957.0,1007966.0,73697532.0,37683629.0,70751102.0,1173898.0,84415472.0
7,4972287705240586186,pp_1,1.2,0.1,0.9,375119.0,1007661.0,72120309.0,40345715.0,70807561.0,1136846.0,84309990.0
7,4972287705240586186,group_committer,1.1,0.1,0.0,40194.9,7340325.0,3945260.9,4280244.7,137393489.0,6552457.8,156310589.6
7,4972287705240586186,worker_7,1.2,0.8,1.4,4369077.7,7475490.4,1307939477.5,43322192.2,798621864.0,9956238.4,924897954.4
7,4972287705240586186,worker_6,1.2,0.8,1.4,4333949.9,7456739.3,1305885162.6,44707871.2,806620851.0,10013074.2,933822880.6
7,4972287705240586186,worker_5,1.2,0.8,1.4,4467694.8,7320868.5,1340164615.7,36920779.2,786662443.0,10054525.1,937124715.7
7,4972287705240586186,worker_4,1.2,0.8,1.4,4260584.3,7279283.3,1264453135.6,41514364.1,779789107.0,9670353.9,910296224.7
7,4972287705240586186,worker_3,1.2,0.8,1.4,4479492.9,7949814.9,1311028235.4,43820603.5,795208192.0,10096106.4,959806836.1
7,4972287705240586186,worker_0,1.2,0.8,1.4,4447912.9,7435191.2,1339464166.7,40017392.3,811306764.0,10103071.7,957936777.8
7,4972287705240586186,worker_2,1.2,0.8,1.4,4376568.8,7304012.7,1300895183.1,46465508.1,782877952.0,9793658.4,925350860.9
7,4972287705240586186,worker_1,1.2,0.8,1.4,4374821.1,7247669.4,1283277291.4,41995022.4,782391961.0,9838933.1,916020146.7
8,4972287705240586186,pp_3,1.1,0.0,0.9,129201.0,375894.0,27131321.0,13287386.0,27014196.0,427486.0,29613596.0
8,4972287705240586186,pp_0,1.1,0.0,0.9,143516.0,388473.0,28353599.0,14088196.0,28745203.0,446105.0,31674894.0
8,4972287705240586186,pp_2,1.1,0.0,0.9,151645.0,450835.0,33936621.0,14866220.0,33178497.0,527751.0,36876811.0
8,4972287705240586186,pp_1,1.1,0.0,0.9,142732.0,394712.0,29406574.0,14439846.0,29560647.0,468716.0,32377348.0
8,4972287705240586186,group_committer,1.0,0.1,0.0,16110.8,5278160.9,1700978.7,1761610.3,98068355.0,5054718.0,98864280.3
8,4972287705240586186,worker_7,1.1,0.7,1.5,3471837.9,5971090.5,1183979550.6,25022812.8,735616598.0,8025479.8,815794653.8
8,4972287705240586186,worker_6,1.1,0.8,2.6,3079769.0,5268297.6,2313356106.2,23247729.1,777430275.0,6984908.4,892475118.5
8,4972287705240586186,worker_5,1.1,0.7,2.0,3372783.4,5515787.7,1517389427.4,21892647.3,679770398.0,7791124.0,772313605.8
8,4972287705240586186,worker_4,1.1,0.8,2.9,3199044.0,5273972.3,2644847900.4,27416375.2,787424252.0,7499807.9,899569731.4
8,4972287705240586186,worker_3,1.1,0.7,2.1,3385228.1,5552786.9,1760460669.8,24615950.7,742571901.0,7930268.1,821601133.8
8,4972287705240586186,worker_0,1.1,0.8,2.9,2911789.8,4907291.0,2547004121.1,21887477.0,778196590.0,6815426.4,874817548.7
8,4972287705240586186,worker_2,1.1,0.6,1.4,3197483.2,5438650.3,986702554.2,28723169.2,621509287.0,7334178.7,692600550.0
8,4972287705240586186,worker_1,1.1,0.7,1.5,3873126.8,6830280.8,1234456942.8,29768226.7,764120470.0,9046709.8,818259216.2
9,4972287705240586186,pp_3,1.4,0.0,1.0,17557.0,46946.0,3756305.0,1647258.0,2734367.0,57490.0,3947402.0
9,4972287705240586186,pp_0,1.4,0.0,0.9,15469.0,39537.0,3089639.0,1508602.0,2312209.0,52259.0,3288743.0
9,4972287705240586186,pp_2,1.5,0.0,1.0,17721.0,48848.0,4029458.0,1620705.0,2822647.0,66181.0,4112225.0
9,4972287705240586186,pp_1,1.4,0.0,1.0,20199.0,50168.0,3922011.0,1878614.0,2844729.0,66456.0,4076560.0
9,4972287705240586186,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9,4972287705240586186,worker_7,1.5,0.6,2.5,143099.7,1008382.8,2230737772.8,18300662.4,592169902.0,249447.8,880726367.1
9,4972287705240586186,worker_6,1.4,1.0,3.0,175553.3,1436588.5,4099463896.6,32885667.2,1007962073.0,227690.1,1384920263.9
9,4972287705240586186,worker_5,1.4,1.0,3.2,219089.1,1598321.8,4448706115.6,26892033.7,1010084725.0,373033.2,1395782372.5
9,4972287705240586186,worker_4,1.4,1.0,3.6,126985.0,1310039.6,5164610261.1,27127902.3,1000105867.0,143741.5,1429759002.9
9,4972287705240586186,worker_3,1.3,1.0,2.8,105836.6,1303706.6,3489193645.0,27319797.3,1010563896.0,93325.7,1266584728.9
9,4972287705240586186,worker_0,1.5,1.0,3.5,393962.8,1431975.1,5070357763.8,26486534.5,1004033118.0,757296.3,1462005380.7
9,4972287705240586186,worker_2,1.4,0.6,3.4,519074.3,1194766.5,2943534457.3,26829019.5,593998062.0,1321353.9,860931888.7
9,4972287705240586186,worker_1,1.4,1.0,2.9,248579.2,1582698.9,4140789832.2,40022759.2,1007381942.0,329920.4,1446336649.0
10,4972287705240586186,pp_3,1.2,0.0,0.8,229927.0,604229.0,43125863.0,23457853.0,43093538.0,689040.0,52031193.0
10,4972287705240586186,pp_0,1.2,0.0,0.8,241902.0,626221.0,44964236.0,24295913.0,44912292.0,723852.0,53487530.0
10,4972287705240586186,pp_2,1.2,0.0,0.8,249188.0,657097.0,48355403.0,24150294.0,46709818.0,776464.0,57081064.0
10,4972287705240586186,pp_1,1.2,0.0,0.9,267689.0,669708.0,51416142.0,24982517.0,48588977.0,839577.0,59099442.0
10,4972287705240586186,group_committer,1.2,0.1,0.0,16296.3,3527782.9,1737163.3,2298476.0,60163565.0,2604768.5,72170623.1
10,4972287705240586186,worker_7,1.4,0.7,2.4,1346839.3,3064409.2,2417592176.3,30483871.2,755409196.0,2929356.5,1027418999.5
10,4972287705240586186,worker_6,1.3,0.7,2.3,1267058.0,2817975.6,2323607381.6,26396625.2,753943800.0,2775695.1,1008800456.3
