t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0.0,89.4,0,0,0,0,93,0,1,0,0,0.0,0,0,12.7,0,-nan,12.7,0,111,215,-nan,0,38044,0.0,0,0
1,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,302,7.7,0,0,0.1,92.2,0,0,0,0,41487,0,1461,0,0,0.0,0,0,0.1,0,-nan,0.1,0,47098,515284,-nan,0,14,0.0,0,0
2,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,91,2.5,0,0,0.0,97.5,0,0,0,0,10211,0,384,0,0,0.0,0,0,0.0,0,-nan,0.0,0,13176,143206,-nan,0,3,0.0,0,0
3,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,126,2.5,0,0,0.0,97.5,0,0,0,0,21541,0,641,0,0,0.0,0,0,0.0,0,-nan,0.0,0,20641,227808,-nan,0,4,0.0,0,0
4,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,114,3.0,0,0,0.0,97.0,0,0,0,0,11602,0,509,0,0,0.0,0,0,0.0,0,-nan,0.0,0,15267,168550,-nan,0,2,0.0,0,0
5,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,244,2.2,0,0,0.0,97.8,0,0,0,0,13173,0,1069,0,0,0.0,0,0,0.0,0,-nan,0.1,0,36010,395540,-nan,0,2,0.0,0,0
6,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,106,6.5,0,0,0.1,93.4,0,0,0,0,43983,0,438,0,0,0.0,0,0,0.1,0,-nan,0.0,0,13651,148960,-nan,0,5,0.0,0,0
7,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,357,15.0,0,0,0.1,84.8,0,0,0,0,41254,0,1631,0,0,0.0,0,0,0.1,0,-nan,0.1,0,50334,549861,-nan,0,9,0.0,0,0
8,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,258,7.4,0,0,0.1,92.5,0,0,0,0,21702,0,1329,0,0,0.0,0,0,0.1,0,-nan,0.1,0,39634,431047,-nan,0,2,0.0,0,0
9,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,11,-nan,0,0,-nan,-nan,0,0,0,0,0,0,49,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1466,16840,-nan,0,0,0.0,0,0
10,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,136,6.7,0,0,0.1,93.2,0,0,0,0,42195,0,578,0,0,0.0,0,0,0.1,0,-nan,0.0,0,18229,202831,-nan,0,3,0.0,0,0
11,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,205,8.5,0,0,0.1,91.5,0,0,0,0,34549,0,995,0,0,0.0,0,0,0.1,0,-nan,0.1,0,29814,325230,-nan,0,9,0.0,0,0
12,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,92,4.3,0,0,0.0,95.7,0,0,0,0,13011,0,469,0,0,0.0,0,0,0.0,0,-nan,0.0,0,11687,124605,-nan,0,6,0.0,0,0
13,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,197,6.0,0,0,0.1,93.9,0,0,0,0,25418,0,1023,0,0,0.0,0,0,0.1,0,-nan,0.1,0,27658,300208,-nan,0,11,0.0,0,0
14,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,198,8.2,0,0,0.1,91.7,0,0,0,0,31274,0,955,0,0,0.0,0,0,0.1,0,-nan,0.1,0,28778,310679,-nan,0,10,0.0,0,0
15,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,322,11.5,0,0,0.1,88.4,0,0,0,0,42279,0,1535,0,0,0.0,0,0,0.1,0,-nan,0.1,0,44658,482671,-nan,0,13,0.0,0,0
16,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,110,3.7,0,0,0.0,96.2,0,0,0,0,18855,0,560,0,0,0.0,0,0,0.0,0,-nan,0.0,0,16648,185091,-nan,0,4,0.0,0,0
17,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,283,2.8,0,0,0.0,97.1,0,0,0,0,8431,0,1168,0,0,0.0,0,0,0.1,0,-nan,0.1,0,42657,456056,-nan,0,4,0.0,0,0
18,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,231,14.7,0,0,0.1,85.2,0,0,0,0,58466,0,1088,0,0,0.0,0,0,0.1,0,-nan,0.1,0,35361,398311,-nan,0,4,0.0,0,0
19,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,337,13.7,0,0,0.1,86.1,0,0,0,0,46928,0,1600,0,0,0.0,0,0,0.1,0,-nan,0.1,0,49955,547501,-nan,0,3,0.0,0,0
20,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,166,7.3,0,0,0.1,92.6,0,0,0,0,35678,0,939,0,0,0.0,0,0,0.0,0,-nan,0.1,0,25519,274210,-nan,0,8,0.0,0,0
21,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,97,7.7,0,0,0.1,92.2,0,0,0,0,16196,0,608,0,0,0.0,0,0,0.0,0,-nan,0.0,0,16713,187819,-nan,0,3,0.0,0,0
22,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,311,9.9,0,0,0.1,90.0,0,0,0,0,39481,0,1574,0,0,0.0,0,0,0.1,0,-nan,0.1,0,48076,513862,-nan,0,3,0.0,0,0
23,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,74,7.3,0,0,0.1,92.6,0,0,0,0,22483,0,362,0,0,0.0,0,0,0.0,0,-nan,0.0,0,11181,117138,-nan,0,3,0.0,0,0
24,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,200,6.5,0,0,0.1,93.4,0,0,0,0,29831,0,1013,0,0,0.0,0,0,0.1,0,-nan,0.1,0,29134,328587,-nan,0,11,0.0,0,0
25,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,112,3.8,0,0,0.1,96.1,0,0,0,0,15399,0,623,0,0,0.0,0,0,0.0,0,-nan,0.0,0,15796,172384,-nan,0,6,0.0,0,0
26,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,256,9.0,0,0,0.1,90.9,0,0,0,0,36670,0,1379,0,0,0.0,0,0,0.1,0,-nan,0.1,0,37174,403689,-nan,0,15,0.0,0,0
27,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,154,11.8,0,0,0.1,88.1,0,0,0,0,24198,0,893,0,0,0.0,0,0,0.1,0,-nan,0.1,0,23981,268197,-nan,0,8,0.0,0,0
28,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,64,3.1,0,0,0.0,96.9,0,0,0,0,8832,0,377,0,0,0.0,0,0,0.0,0,-nan,0.0,0,8837,96392,-nan,0,5,0.0,0,0
29,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,216,6.1,0,0,0.1,93.9,0,0,0,0,30985,0,1172,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32323,350713,-nan,0,13,0.0,0,0
30,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,148,6.3,0,0,0.1,93.6,0,0,0,0,21912,0,818,0,0,0.0,0,0,0.0,0,-nan,0.0,0,19976,212994,-nan,0,10,0.0,0,0
31,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,306,13.7,0,0,0.2,86.1,0,0,0,0,43831,0,1655,0,0,0.0,0,0,0.1,0,-nan,0.1,0,46590,513179,-nan,0,12,0.0,0,0
32,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,109,3.9,0,0,0.1,96.1,0,0,0,0,18124,0,519,0,0,0.0,0,0,0.0,0,-nan,0.0,0,13751,153508,-nan,0,5,0.0,0,0
33,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,279,3.8,0,0,0.1,96.1,0,0,0,0,8565,0,1433,0,0,0.0,0,0,0.0,0,-nan,0.1,0,43387,462836,-nan,0,5,0.0,0,0
34,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,60,3.7,0,0,0.1,96.2,0,0,0,0,36756,0,223,0,0,0.0,0,0,0.1,0,-nan,0.0,0,8671,103625,-nan,0,2,0.0,0,0
35,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,339,15.7,0,0,0.2,84.1,0,0,0,0,48595,0,1905,0,0,0.0,0,0,0.1,0,-nan,0.1,0,56253,620623,-nan,0,5,0.0,0,0
36,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,241,11.5,0,0,0.2,88.4,0,0,0,0,19261,0,1335,0,0,0.0,0,0,0.1,0,-nan,0.1,0,39924,418829,-nan,0,2,0.0,0,0
37,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,156,12.7,0,0,0.1,87.2,0,0,0,0,37031,0,917,0,0,0.0,0,0,0.0,0,-nan,0.0,0,23595,275637,-nan,0,2,0.0,0,0
38,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,248,17.5,0,0,0.1,82.4,0,0,0,0,36309,0,1221,0,0,0.0,0,0,0.1,0,-nan,0.1,0,38013,413921,-nan,0,2,0.0,0,0
39,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,121,10.2,0,0,0.1,89.7,0,0,0,0,41677,0,587,0,0,0.0,0,0,0.1,0,-nan,0.0,0,18046,199122,-nan,0,5,0.0,0,0
40,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,104,3.0,0,0,0.1,96.9,0,0,0,0,14890,0,787,0,0,0.0,0,0,0.0,0,-nan,0.0,0,16174,173034,-nan,0,10,0.0,0,0
41,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,115,4.9,0,0,0.1,95.1,0,0,0,0,17183,0,700,0,0,0.0,0,0,0.0,0,-nan,0.0,0,18854,209634,-nan,0,6,0.0,0,0
42,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,146,8.2,0,0,0.1,91.7,0,0,0,0,21867,0,840,0,0,0.0,0,0,0.0,0,-nan,0.0,0,20319,224323,-nan,0,9,0.0,0,0
43,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,204,10.0,0,0,0.1,89.9,0,0,0,0,30035,0,1284,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32194,357389,-nan,0,13,0.0,0,0
44,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,202,11.7,0,0,0.1,88.2,0,0,0,0,27262,0,931,0,0,0.0,0,0,0.1,0,-nan,0.1,0,25819,281404,-nan,0,10,0.0,0,0
45,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,39,4.3,0,0,0.1,95.7,0,0,0,0,11025,0,337,0,0,0.0,0,0,0.0,0,-nan,0.0,0,8380,92259,-nan,0,5,0.0,0,0
46,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,176,6.7,0,0,0.1,93.2,0,0,0,0,26724,0,1132,0,0,0.0,0,0,0.1,0,-nan,0.1,0,29180,312220,-nan,0,10,0.0,0,0
47,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,117,6.3,0,0,0.1,93.6,0,0,0,0,19611,0,863,0,0,0.0,0,0,0.0,0,-nan,0.0,0,21014,233282,-nan,0,10,0.0,0,0
48,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,278,12.0,0,0,0.2,87.9,0,0,0,0,44703,0,1704,0,0,0.0,0,0,0.1,0,-nan,0.1,0,45278,506286,-nan,0,14,0.0,0,0
49,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,112,4.6,0,0,0.1,95.3,0,0,0,0,18966,0,681,0,0,0.0,0,0,0.0,0,-nan,0.0,0,16767,182173,-nan,0,8,0.0,0,0
50,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,235,6.5,0,0,0.1,93.4,0,0,0,0,35059,0,1329,0,0,0.0,0,0,0.1,0,-nan,0.1,0,34717,383278,-nan,0,14,0.0,0,0
51,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,195,9.2,0,0,0.1,90.7,0,0,0,0,32497,0,1256,0,0,0.0,0,0,0.1,0,-nan,0.1,0,33731,365356,-nan,0,11,0.0,0,0
52,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,260,10.4,0,0,0.2,89.4,0,0,0,0,38641,0,1602,0,0,0.0,0,0,0.1,0,-nan,0.1,0,38674,425036,-nan,0,17,0.0,0,0
53,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,52,2.6,0,0,0.0,97.4,0,0,0,0,11411,0,351,0,0,0.0,0,0,0.0,0,-nan,0.0,0,9081,96274,-nan,0,5,0.0,0,0
54,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,218,6.3,0,0,0.1,93.6,0,0,0,0,30786,0,1191,0,0,0.0,0,0,0.1,0,-nan,0.1,0,30701,334941,-nan,0,16,0.0,0,0
55,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,126,5.3,0,0,0.1,94.6,0,0,0,0,18446,0,964,0,0,0.0,0,0,0.0,0,-nan,0.0,0,21162,231190,-nan,0,13,0.0,0,0
56,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,233,9.5,0,0,0.1,90.4,0,0,0,0,35514,0,1386,0,0,0.0,0,0,0.1,0,-nan,0.1,0,34167,376178,-nan,0,15,0.0,0,0
57,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,151,7.4,0,0,0.4,92.2,0,0,0,0,25599,0,1021,0,0,0.0,0,0,0.1,0,-nan,0.1,0,25905,292205,-nan,0,12,0.0,0,0
58,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,32,2.4,0,0,0.0,97.6,0,0,0,0,7855,0,305,0,0,0.0,0,0,0.0,0,-nan,0.0,0,6044,69558,-nan,0,4,0.0,0,0
59,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,135,6.5,0,0,0.1,93.4,0,0,0,0,20337,0,963,0,0,0.0,0,0,0.0,0,-nan,0.0,0,21013,230173,-nan,0,14,0.0,0,0
60,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,78,2.6,0,0,0.0,97.3,0,0,0,0,10493,0,448,0,0,0.0,0,0,0.0,0,-nan,0.0,0,10300,111633,-nan,0,5,0.0,0,0
61,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,135,8.0,0,0,0.1,91.9,0,0,0,0,22286,0,1003,0,0,0.0,0,0,0.0,0,-nan,0.0,0,22453,247424,-nan,0,15,0.0,0,0
62,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,217,11.6,0,0,0.2,88.3,0,0,0,0,30997,0,1379,0,0,0.0,0,0,0.1,0,-nan,0.1,0,34632,378382,-nan,0,14,0.0,0,0
63,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,120,5.1,0,0,0.1,94.8,0,0,0,0,25763,0,910,0,0,0.0,0,0,0.1,0,-nan,0.0,0,21418,235084,-nan,0,11,0.0,0,0
64,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,72,2.0,0,0,0.0,97.9,0,0,0,0,6117,0,410,0,0,0.0,0,0,0.0,0,-nan,0.0,0,7993,92096,-nan,0,5,0.0,0,0
65,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,253,11.2,0,0,0.1,88.7,0,0,0,0,43252,0,1661,0,0,0.0,0,0,0.1,0,-nan,0.1,0,42083,461139,-nan,0,18,0.0,0,0
66,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,243,11.6,0,0,0.1,88.2,0,0,0,0,10098,0,1430,0,0,0.0,0,0,0.0,0,-nan,0.1,0,39789,443237,-nan,0,5,0.0,0,0
67,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,42,1.1,0,0,0.1,98.8,0,0,0,0,2137,0,173,0,0,0.0,0,0,0.1,0,-nan,0.0,0,6127,63269,-nan,0,1,0.0,0,0
68,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,258,7.0,0,0,0.1,92.9,0,0,0,0,62747,0,1633,0,0,0.0,0,0,0.1,0,-nan,0.1,0,43183,474572,-nan,0,9,0.0,0,0
69,4972287705240586186,0,0,0,0,0,0,0,0,0,0,0,196,10.7,0,0,0.1,89.1,0,0,0,0,39409,0,914,0,0,0.0,0,0,0.1,0,-nan,0.1,0,25385,276814,-nan,0,4,0.0,0,0
