t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,14632805865187260016,0.1,279.7,0.0,664437835,0.2,1918079,72488147480113.2,14.5,0,15178700.0,0.0,5210056,425198,279.7,3794675,0.0,0.0,23.8,0,2005200,100.0,0,0
0,14632805865187260016,0.0,276.8,0.0,771969051,0.0,1910032,42143920610321.5,14.5,0,15195996.0,0.0,5210413,421520,276.8,3798998,0.0,0.0,22.8,0,1998146,100.0,0,0
0,5737676506079966301,0.0,0.0,0.0,39379720,92.8,0,0.0,1.0,0,1069792.0,0.0,267448,0,0.0,267448,0.0,0.0,0.0,0,0,100.0,0,0
1,5737676506079966301,0.0,0.0,0.0,20353706,91.9,0,0.0,1.1,0,1202776.0,0.0,56331,0,0.0,300694,0.0,0.0,0.0,0,0,100.0,0,0
2,5737676506079966301,0.0,0.0,0.0,17672402,91.2,0,0.0,1.3,0,1315384.0,0.0,47894,0,0.0,328847,0.0,0.0,0.0,0,0,100.0,0,0
3,5737676506079966301,0.0,0.0,0.0,17409146,90.4,0,0.0,1.4,0,1428396.0,0.0,47993,0,0.0,357099,0.0,0.0,0.0,0,0,100.0,0,0
4,5737676506079966301,0.0,0.0,0.0,17473952,89.6,0,0.0,1.5,0,1546012.0,0.0,49875,0,0.0,386504,0.0,0.0,0.0,0,0,100.0,0,0
5,5737676506079966301,0.0,0.0,0.0,17407483,88.9,0,0.0,1.6,0,1652680.0,0.0,45034,0,0.0,413170,0.0,0.0,0.0,0,0,100.0,0,0
6,5737676506079966301,0.0,0.0,0.0,17414938,88.2,0,0.0,1.7,0,1759764.0,0.0,45468,0,0.0,439941,0.0,0.0,0.0,0,0,100.0,0,0
7,5737676506079966301,0.0,0.0,0.0,18041041,87.4,0,0.0,1.8,0,1871856.0,0.0,47548,0,0.0,467965,0.0,0.0,0.0,0,0,100.0,0,0
8,5737676506079966301,0.0,0.0,0.0,16882059,86.8,0,0.0,1.9,0,1966832.0,0.0,40394,0,0.0,491708,0.0,0.0,0.0,0,0,100.0,0,0
9,5737676506079966301,0.0,0.0,0.0,14940793,86.3,0,0.0,1.9,0,2040092.0,0.0,31087,0,0.0,510023,0.0,0.0,0.0,0,0,100.0,0,0
10,5737676506079966301,0.0,0.0,0.0,14105031,86.0,0,0.0,2.0,0,2094876.0,0.0,23481,0,0.0,523719,0.0,0.0,0.0,0,0,100.0,0,0
11,5737676506079966301,0.0,0.0,0.0,14359486,85.6,0,0.0,2.1,0,2153844.0,0.0,25093,0,0.0,538461,0.0,0.0,0.0,0,0,100.0,0,0
12,5737676506079966301,0.0,0.0,0.0,14846783,85.2,0,0.0,2.1,0,2211336.0,0.0,24545,0,0.0,552833,0.0,0.0,0.0,0,0,100.0,0,0
13,5737676506079966301,0.0,0.0,0.0,14915621,84.7,0,0.0,2.2,0,2282388.0,0.0,30366,0,0.0,570598,0.0,0.0,0.0,0,0,100.0,0,0
14,5737676506079966301,0.0,0.0,0.0,15042792,84.1,0,0.0,2.3,0,2371824.0,0.0,38118,0,0.0,592957,0.0,0.0,0.0,0,0,100.0,0,0
15,5737676506079966301,0.0,0.0,0.0,17287097,83.3,0,0.0,2.4,0,2483412.0,0.0,47199,0,0.0,620853,0.0,0.0,0.0,0,0,100.0,0,0
16,5737676506079966301,0.0,0.0,0.0,19063143,82.6,0,0.0,2.5,0,2601936.0,0.0,47844,0,0.0,650484,0.0,0.0,0.0,0,0,100.0,0,0
17,5737676506079966301,0.0,0.0,0.0,24035915,82.1,0,0.0,2.5,0,2665500.0,0.0,29415,0,0.0,666373,0.0,0.0,0.0,0,0,100.0,0,0
18,5737676506079966301,0.0,0.0,0.0,21524951,81.2,0,0.0,2.7,0,2800108.0,0.0,56491,0,0.0,700027,0.0,0.0,0.0,0,0,100.0,0,0
