t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,14632805865187260016,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,90,0,2,0,0,0.0,0,0,12.7,0,-nan,12.7,0,114,0,-nan,0,372,0.0,0,0
0,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,23,0.0,0,0,0.0,100.0,0,0,0,0,1,0,1,0,0,0.0,0,0,0.7,0,-nan,0.7,0,357,1,-nan,0,60,0.0,0,0
1,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,14588,0.0,0,0,0.3,99.7,0,0,0,0,102209,0,3503,0,0,0.0,0,0,0.2,0,-nan,0.2,0,105463,1118996,-nan,0,35,0.0,0,0
2,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12378,0.0,0,0,0.2,99.8,0,0,0,0,88912,0,3199,0,0,0.0,0,0,0.2,0,-nan,0.2,0,89082,964654,-nan,0,25,0.0,0,0
3,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12381,0.0,0,0,0.3,99.7,0,0,0,0,89898,0,3457,0,0,0.0,0,0,0.2,0,-nan,0.2,0,89406,966291,-nan,0,31,0.0,0,0
4,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12977,0.0,0,0,0.3,99.7,0,0,0,0,91917,0,3524,0,0,0.0,0,0,0.2,0,-nan,0.2,0,93283,1000244,-nan,0,31,0.0,0,0
5,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,11603,0.0,0,0,0.3,99.7,0,0,0,0,85377,0,3313,0,0,0.0,0,0,0.2,0,-nan,0.2,0,84267,895433,-nan,0,34,0.0,0,0
6,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,11529,0.0,0,0,0.3,99.7,0,0,0,0,84643,0,3518,0,0,0.0,0,0,0.2,0,-nan,0.2,0,84556,914853,-nan,0,38,0.0,0,0
7,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12097,0.0,0,0,0.3,99.7,0,0,0,0,88638,0,3469,0,0,0.0,0,0,0.2,0,-nan,0.2,0,88743,953508,-nan,0,32,0.0,0,0
8,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,10125,0.0,0,0,0.2,99.8,0,0,0,0,75489,0,3116,0,0,0.0,0,0,0.2,0,-nan,0.2,0,75197,814755,-nan,0,28,0.0,0,0
