Loading TPC-C
TPC-C loaded - consumed space in GiB = 1.01213
Warehouse pages = 1
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 357        | 99.7198- | 6.052632 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | 0.000000 | 0.000000 | 0.000000 | 0.000000 | 0.7      | 0.7      | 1.0      | 60       |
| 1   | 105463     | 96.6784- | 12.1515- | 0        | 0.0      | 0.0      | 201759.- | 106781.- | 7.861207 | 954.670- | 782.660- | 11.2855- | 0.2      | 0.2      | 1.1      | 35       |
| 2   | 89082      | 96.4089- | 12.1998- | 0        | 0.0      | 0.0      | 192271.- | 110662.- | 7.832376 | 1008.18- | 791.471- | 9.906163 | 0.2      | 0.2      | 1.3      | 25       |
| 3   | 89406      | 96.1333- | 12.1636- | 0        | 0.0      | 0.0      | 187254.- | 109026.- | 7.918541 | 939.267- | 723.979- | 9.702307 | 0.2      | 0.2      | 1.4      | 31       |
| 4   | 93283      | 96.2222- | 12.2124- | 0        | 0.0      | 0.0      | 195653.- | 107911.- | 7.889677 | 960.254- | 796.877- | 10.0231- | 0.2      | 0.2      | 1.5      | 31       |
| 5   | 84267      | 96.0684- | 12.1028- | 0        | 0.0      | 0.0      | 183475.- | 112977.- | 7.870534 | 962.315- | 755.318- | 9.538935 | 0.2      | 0.2      | 1.6      | 34       |
| 6   | 84556      | 95.8394- | 11.9987- | 0        | 0.0      | 0.0      | 185093.- | 116085.- | 7.880518 | 973.965- | 774.364- | 9.822923 | 0.2      | 0.2      | 1.7      | 38       |
| 7   | 88743      | 96.0909- | 11.9962- | 0        | 0.0      | 0.0      | 189679.- | 115781.- | 7.888903 | 987.078- | 793.978- | 10.2628- | 0.2      | 0.2      | 1.8      | 32       |
| 8   | 75197      | 95.8562- | 11.8668- | 0        | 0.0      | 0.0      | 198856.- | 120345.- | 7.566518 | 1031.59- | 892.122- | 9.418228 | 0.2      | 0.2      | 1.9      | 28       |
