t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,12887458230040279342,0.0,0.0,0.0,209755104,74.3,0,0.0,0.2,0,239692.0,0.0,59923,0,0.0,59923,0.0,0.0,0.0,0,0,100.0,0,0
1,12887458230040279342,0.0,0.0,0.0,9099200,74.1,0,0.0,0.2,0,241792.0,0.0,945,0,0.0,60448,0.0,0.0,0.0,0,0,100.0,0,0
2,12887458230040279342,0.0,0.0,0.0,9020759,73.8,0,0.0,0.2,0,243916.0,0.0,936,0,0.0,60979,0.0,0.0,0.0,0,0,100.0,0,0
3,12887458230040279342,0.0,0.0,0.0,8731931,73.6,0,0.0,0.2,0,246160.0,0.0,962,0,0.0,61540,0.0,0.0,0.0,0,0,100.0,0,0
4,12887458230040279342,0.0,0.0,0.0,8801265,73.4,0,0.0,0.2,0,248344.0,0.0,932,0,0.0,62086,0.0,0.0,0.0,0,0,100.0,0,0
5,12887458230040279342,0.0,0.0,0.0,8890894,73.1,0,0.0,0.2,0,250624.0,0.0,993,0,0.0,62656,0.0,0.0,0.0,0,0,100.0,0,0
6,12887458230040279342,0.0,0.0,0.0,8919080,72.9,0,0.0,0.2,0,252776.0,0.0,934,0,0.0,63194,0.0,0.0,0.0,0,0,100.0,0,0
7,12887458230040279342,0.0,0.0,0.0,8575771,72.6,0,0.0,0.2,0,254968.0,0.0,932,0,0.0,63742,0.0,0.0,0.0,0,0,100.0,0,0
8,12887458230040279342,0.0,0.0,0.0,8755522,72.4,0,0.0,0.2,0,257328.0,0.0,989,0,0.0,64332,0.0,0.0,0.0,0,0,100.0,0,0
9,12887458230040279342,0.0,0.0,0.0,8723528,72.1,0,0.0,0.2,0,259644.0,0.0,968,0,0.0,64911,0.0,0.0,0.0,0,0,100.0,0,0
10,12887458230040279342,0.0,0.0,0.0,8740022,71.9,0,0.0,0.2,0,261692.0,0.0,924,0,0.0,65423,0.0,0.0,0.0,0,0,100.0,0,0
11,12887458230040279342,0.0,0.0,0.0,8847180,71.7,0,0.0,0.3,0,263848.0,0.0,948,0,0.0,65962,0.0,0.0,0.0,0,0,100.0,0,0
12,12887458230040279342,0.0,0.0,0.0,9038867,71.5,0,0.0,0.3,0,266020.0,0.0,942,0,0.0,66505,0.0,0.0,0.0,0,0,100.0,0,0
13,12887458230040279342,0.0,0.0,0.0,9083801,71.2,0,0.0,0.3,0,268024.0,0.0,895,0,0.0,67006,0.0,0.0,0.0,0,0,100.0,0,0
14,12887458230040279342,0.0,0.0,0.0,8849264,71.0,0,0.0,0.3,0,270060.0,0.0,861,0,0.0,67515,0.0,0.0,0.0,0,0,100.0,0,0
15,12887458230040279342,0.0,0.0,0.0,9036895,70.8,0,0.0,0.3,0,271996.0,0.0,837,0,0.0,67999,0.0,0.0,0.0,0,0,100.0,0,0
16,12887458230040279342,0.0,0.0,0.0,8876272,70.6,0,0.0,0.3,0,274172.0,0.0,907,0,0.0,68543,0.0,0.0,0.0,0,0,100.0,0,0
17,12887458230040279342,0.0,0.0,0.0,8489101,70.4,0,0.0,0.3,0,276284.0,0.0,929,0,0.0,69071,0.0,0.0,0.0,0,0,100.0,0,0
18,12887458230040279342,0.0,0.0,0.0,8909233,70.1,0,0.0,0.3,0,278464.0,0.0,942,0,0.0,69616,0.0,0.0,0.0,0,0,100.0,0,0
19,12887458230040279342,0.0,0.0,0.0,9091527,69.9,0,0.0,0.3,0,280796.0,0.0,976,0,0.0,70199,0.0,0.0,0.0,0,0,100.0,0,0
20,12887458230040279342,0.0,0.0,0.0,8719435,69.6,0,0.0,0.3,0,282912.0,0.0,908,0,0.0,70728,0.0,0.0,0.0,0,0,100.0,0,0
21,12887458230040279342,0.0,0.0,0.0,9012145,69.4,0,0.0,0.3,0,285184.0,0.0,990,0,0.0,71296,0.0,0.0,0.0,0,0,100.0,0,0
22,12887458230040279342,0.0,0.0,0.0,8739323,69.2,0,0.0,0.3,0,287428.0,0.0,986,0,0.0,71857,0.0,0.0,0.0,0,0,100.0,0,0
23,12887458230040279342,0.0,0.0,0.0,8656602,68.9,0,0.0,0.3,0,289512.0,0.0,902,0,0.0,72378,0.0,0.0,0.0,0,0,100.0,0,0
24,12887458230040279342,0.0,0.0,0.0,9074995,68.7,0,0.0,0.3,0,291680.0,0.0,947,0,0.0,72920,0.0,0.0,0.0,0,0,100.0,0,0
25,12887458230040279342,0.0,0.0,0.0,9071500,68.5,0,0.0,0.3,0,293944.0,0.0,980,0,0.0,73486,0.0,0.0,0.0,0,0,100.0,0,0
26,12887458230040279342,0.0,0.0,0.0,8386009,68.3,0,0.0,0.3,0,295728.0,0.0,804,0,0.0,73932,0.0,0.0,0.0,0,0,100.0,0,0
27,12887458230040279342,0.0,0.0,0.0,8277808,68.0,0,0.0,0.3,0,297900.0,0.0,944,0,0.0,74475,0.0,0.0,0.0,0,0,100.0,0,0
28,12887458230040279342,0.0,0.0,0.0,8595813,67.8,0,0.0,0.3,0,300252.0,0.0,995,0,0.0,75063,0.0,0.0,0.0,0,0,100.0,0,0
29,12887458230040279342,0.0,0.0,0.0,8867613,67.5,0,0.0,0.3,0,302460.0,0.0,959,0,0.0,75615,0.0,0.0,0.0,0,0,100.0,0,0
30,12887458230040279342,0.0,0.0,0.0,9134083,67.3,0,0.0,0.3,0,304652.0,0.0,918,0,0.0,76163,0.0,0.0,0.0,0,0,100.0,0,0
31,12887458230040279342,0.0,0.0,0.0,8961242,67.1,0,0.0,0.3,0,306892.0,0.0,971,0,0.0,76723,0.0,0.0,0.0,0,0,100.0,0,0
32,12887458230040279342,0.0,0.0,0.0,8700055,66.8,0,0.0,0.3,0,309168.0,0.0,983,0,0.0,77292,0.0,0.0,0.0,0,0,100.0,0,0
