t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,12887458230040279342,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,12887458230040279342,pp_3,2.5,1.0,1.7,39737.0,53069.0,4250806131.0,2929805.0,1025390765.0,2267.0,2551495298.0
1,12887458230040279342,pp_2,2.5,1.0,1.7,24493.0,64526.0,4245997331.0,2872862.0,1025412370.0,2042.0,2551574450.0
1,12887458230040279342,pp_1,2.5,1.0,1.7,24892.0,50607.0,4250844472.0,2833112.0,1025415209.0,1777.0,2553607590.0
1,12887458230040279342,pp_0,2.5,1.0,1.7,25047.0,45347.0,4252455666.0,2902051.0,1025391851.0,2225.0,2553509071.0
1,12887458230040279342,group_committer,2.2,0.8,3.0,527174.4,7075968.7,5670010085.4,303774570.0,859680839.0,303828.6,1879556584.3
1,12887458230040279342,worker_0,2.3,0.4,1.5,1186690.0,1391847.0,1372886963.0,3429447.0,389902388.0,1340715.0,893740192.0
2,12887458230040279342,pp_3,2.5,1.0,1.7,38714.0,52011.0,4213606368.0,2901294.0,1023891636.0,3220.0,2530132750.0
2,12887458230040279342,pp_2,2.5,1.0,1.7,24393.0,63367.0,4218063386.0,2835245.0,1023907101.0,3056.0,2530162174.0
2,12887458230040279342,pp_1,2.5,1.0,1.7,24791.0,48922.0,4215314032.0,2795605.0,1023907768.0,2636.0,2531599094.0
