t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,99.6,0,0,0,0,20,0,20,0,0,0.0,0,0,0.2,0,-nan,0.1,0,18,85,-nan,0,26005792,0.0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,99.6,0,0,0,0,1862,0,1862,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1862,20363,-nan,0,1143670,0.0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,99.3,0,0,0,0,1748,0,1748,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1748,19972,-nan,0,1162221,0.0,0,0
3,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,99.4,0,0,0,0,1797,0,1797,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1797,19386,-nan,0,1125602,0.0,0,0
4,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,99.5,0,0,0,0,1755,0,1755,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1755,18853,-nan,0,1156852,0.0,0,0
5,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,99.7,0,0,0,0,1825,0,1825,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1825,20678,-nan,0,1133789,0.0,0,0
6,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,99.6,0,0,0,0,1733,0,1733,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1733,19741,-nan,0,1153387,0.0,0,0
7,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,99.3,0,0,0,0,1781,0,1781,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1781,18552,-nan,0,1095037,0.0,0,0
8,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,99.3,0,0,0,0,1845,0,1845,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1845,19280,-nan,0,1053262,0.0,0,0
9,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,99.6,0,0,0,0,1819,0,1819,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1819,18703,-nan,0,1095773,0.0,0,0
10,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.3,99.5,0,0,0,0,1707,0,1707,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1707,20529,-nan,0,1080324,0.0,0,0
