t,c_hash,cc_versions_space_inserted,cc_todo_olap_executed,cc_todo_oltp_executed,cc_todo_removed,cc_update_chains_pgc_light,cc_update_chains_pgc_light_removed,cc_versions_space_inserted_opt,cc_update_chains_pgc_heavy,cc_update_chains_pgc_heavy_removed,dt_researchy_7,dt_researchy_4,cc_update_versions_removed,dt_append,dt_researchy_3,dt_researchy_2,dt_researchy_6,dt_scan_desc,dt_page_reads,dt_scan_callback,dt_page_writes,cc_update_versions_visited,dt_range_removed,dt_next_tuple_opt,dt_restarts_update_same_size,dt_split,dt_inner_page,dt_prev_tuple_opt,cc_update_versions_kept,cc_update_chains_hwm,dt_goto_page_exec,dt_prev_tuple,cc_read_versions_visited_not_found,dt_restarts_structural_change,key,dt_merge_fail,dt_empty_leaf,cc_update_chains_pgc_skipped,dt_append_opt,xmerge_partial_counter,dt_restarts_read,dt_goto_page_shared,dt_researchy_8,dt_researchy_5,cc_update_chains,dt_researchy_9,dt_find_parent_root,dt_name,dt_next_tuple,cc_read_chains_not_found,dt_researchy_0,contention_split_fail_counter,cc_fat_tuple_convert,cc_fat_tuple_triggered,cc_update_chains_pgc_workers_visited,dt_find_parent_slow,dt_merge_parent_fail,dt_merge_parent_succ,cc_update_versions_kept_max,dt_scan_asc,dt_find_parent,cc_read_versions_visited,cc_fat_tuple_decompose,cc_todo_moved_gy,cc_read_chains,contention_split_succ_counter,dt_merge_succ,cc_update_versions_skipped,cc_update_versions_recycled,xmerge_full_counter,cc_update_versions_created,dt_researchy_1,dt_find_parent_fast,cc_update_chains_pgc
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,_stock_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,20,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20258,288793,0,0,0,120300,0,0,0,22,0,0,0,0,0,0,0,0,0,42,0,3,stock,0,0,0,0,0,0,0,20517,0,0,0,0,20520,42,0,0,42,0,0,0,0,0,42,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,_item_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6737,210616,0,0,0,106737,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,item,0,0,0,0,0,0,0,6807,0,0,0,0,6809,42,0,0,42,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,_orderline_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18117,786462,0,0,0,303214,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,orderline,224,0,0,0,0,0,0,18421,0,0,0,2,18424,226,0,0,226,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,_order_wdc_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,428,51390,0,0,0,30432,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,2,order_wdc,0,0,0,0,0,0,0,431,0,0,0,0,433,1,0,0,1,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,_order_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,59640,0,0,0,31385,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,order,0,0,0,0,0,0,0,1398,0,0,0,0,1400,1,0,0,1,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,_neworder_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,170564,1218193,0,0,0,0,0,0,0,0,0,1,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,_history_tree_0_updates,1,0,147952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52149,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,_history_tree_0_removes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,3,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,_warehouse_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,district,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,7,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,_district_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10149,84101,0,0,0,40150,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,3,customer,0,0,0,0,0,0,0,10297,0,0,0,0,10300,7,0,0,7,0,0,0,0,0,1,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,_customer_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,56145,0,0,0,30661,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,2,customerwdl,0,0,0,0,0,0,0,669,0,0,0,3,671,3,0,0,3,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,_customerwdl_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1896,61139,0,0,0,31897,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,2,history,0,0,0,0,0,0,0,1917,0,0,0,0,1919,1,0,0,1,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,_history_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,12880,0,0,0,9241,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,neworder,0,0,0,0,0,0,0,225,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,_stock_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,4016,0,0,0,0,0,4079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98178,0,0,0,8095,0,0,0,22,0,0,0,0,0,0,0,0,0,8095,0,0,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,24631,0,0,24631,0,0,0,0,0,8095,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,_item_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16180,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,item,0,0,0,0,0,0,0,0,0,0,0,0,0,8090,0,0,8090,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,_orderline_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,3668,0,0,0,0,0,3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,474,47826,0,0,0,15825,0,0,0,18,0,0,0,0,0,0,117,0,0,7261,0,0,orderline,16616,0,0,0,0,0,0,475,0,0,0,112,475,16715,0,0,16715,0,0,0,0,0,7261,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,_order_wdc_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,15,1710,0,0,0,827,0,0,0,16,0,0,0,0,0,0,28,0,0,0,0,0,order_wdc,0,0,0,0,0,0,0,15,0,0,0,0,15,28,0,0,28,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,_order_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,398,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4780,0,0,0,1602,0,0,0,14,0,0,0,0,0,0,0,0,0,760,0,0,order,0,0,0,0,0,0,0,30,0,0,0,0,30,788,0,0,788,0,0,0,0,0,760,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,_neworder_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,88255,126490,0,0,0,0,0,0,0,842,0,394,12051,0,0,0,12051,0,0,0,0,842,105,0,0,0,0,0,0,0,0,0,1236,_history_tree_0_updates,1131,0,11949,0,0,0,0,1630,1236,0,0,0,2866,0,0,0,0,0,394,0,0,0,0,5232,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,_history_tree_0_removes,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,554,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,2,0,0,0,0,0,0,0,0,0,829,0,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,0,0,1641,0,0,0,0,0,829,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,_warehouse_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,857,0,0,0,0,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,0,0,0,4,0,0,0,0,0,0,0,0,0,1641,0,0,district,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,913,0,0,0,0,0,1641,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,_district_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,594,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6747,0,0,0,1085,0,0,0,6,0,0,0,0,0,0,0,0,0,1085,0,0,customer,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,0,0,1164,0,0,0,0,0,1085,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,_customer_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,0,0,0,0,0,0,0,8,0,0,0,0,0,0,546,0,0,0,0,0,customerwdl,0,0,0,0,0,0,0,0,0,0,0,546,0,546,0,0,546,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,_customerwdl_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,692,0,0,0,346,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,history,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,_history_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12887458230040279342,380,760,0,760,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,11,6202,0,0,0,2341,0,90,0,12,0,0,0,0,0,0,760,0,0,0,0,1,neworder,486,90,0,0,0,0,0,37,1,1,0,760,38,850,0,0,850,0,26,0,0,0,0,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,_stock_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,3917,0,0,0,0,0,3956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85011,0,0,0,7873,0,0,0,22,0,0,0,0,0,0,0,0,0,7873,0,0,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,20464,0,0,20464,0,0,0,0,0,7873,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,_item_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15754,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,item,0,0,0,0,0,0,0,0,0,0,0,0,0,7877,0,0,7877,0,0,0,0,0,0,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,_orderline_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,3721,0,0,0,0,0,3639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,472,47421,0,0,0,15709,0,0,0,18,0,0,0,0,0,0,98,0,0,7360,0,0,orderline,12909,0,0,0,0,0,0,477,0,0,0,98,477,13003,0,0,13003,0,0,0,0,0,7360,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,_order_wdc_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,7,1664,0,0,0,798,0,0,0,16,0,0,0,0,0,0,34,0,0,0,0,0,order_wdc,0,0,0,0,0,0,0,7,0,0,0,0,7,34,0,0,34,0,0,0,0,0,0,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,_order_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,395,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4838,0,0,0,1605,0,0,0,14,0,0,0,0,0,0,0,0,0,780,0,0,order,0,0,0,0,0,0,0,34,0,0,0,0,34,814,0,0,814,0,0,0,0,0,780,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,_neworder_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,83401,117021,0,0,0,0,0,0,0,765,0,387,11795,0,0,0,11795,0,0,0,0,765,99,0,0,0,0,0,0,0,0,0,1150,_history_tree_0_updates,1051,0,11818,0,0,0,0,1537,1150,0,0,0,2687,0,0,0,0,0,385,0,0,0,0,5540,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,_history_tree_0_removes,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,489,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,0,0,2,0,0,0,0,0,0,0,0,0,739,0,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,0,0,1530,0,0,0,0,0,739,0,0,0
2,12887458230040279342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,_warehouse_graveyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12887458230040279342,809,0,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,0,0,0,4,0,0,0,0,0,0,0,0,0,1530,0,0,district,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0,803,0,0,0,0,0,1530,0,0,0
