Loading TPC-C
TPC-C loaded - consumed space in GiB = 0.226795
Warehouse pages = 1
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 18         | -        | 0.000000 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | 0.000000 | 0.000000 | 0.000000 | 0.000000 | 0.1      | 0.2      | 0.2      | 26005792 |
| 1   | 1862       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 737318.- | 479989.- | 0.380222 | 747.501- | 720.040- | 2.292215 | 0.0      | 0.0      | 0.2      | 1143670  |
| 2   | 1748       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 735295.- | 505429.- | 0.376510 | 778.965- | 775.969- | 2.291672 | 0.0      | 0.0      | 0.2      | 1162221  |
| 3   | 1797       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 727537.- | 468326.- | 0.371835 | 700.456- | 713.998- | 2.210043 | 0.0      | 0.0      | 0.2      | 1125602  |
| 4   | 1755       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 728663.- | 507224.- | 0.377105 | 863.345- | 715.614- | 2.305198 | 0.0      | 0.0      | 0.2      | 1156852  |
| 5   | 1825       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 750590.- | 492170.- | 0.382934 | 709.272- | 710.356- | 2.291176 | 0.0      | 0.0      | 0.2      | 1133789  |
| 6   | 1733       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 750754.- | 504196.- | 0.372306 | 757.618- | 709.597- | 2.292048 | 0.0      | 0.0      | 0.2      | 1153387  |
| 7   | 1781       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 738306.- | 479066.- | 0.376727 | 757.959- | 801.597- | 2.210946 | 0.0      | 0.0      | 0.2      | 1095037  |
| 8   | 1845       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 711387.- | 463372.- | 0.379844 | 747.833- | 736.149- | 2.191668 | 0.0      | 0.0      | 0.2      | 1053262  |
