t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,2732106289045616718,0.0,0.0,0.0,4031039,74.2,0,0.0,0.2,0,240772.0,0.0,60193,0,0.0,60193,0.0,0.0,0.0,0,0,100.0,0,0
1,2732106289045616718,0.0,0.0,0.0,730435,70.7,0,0.0,0.3,0,273068.0,0.0,12493,0,0.0,68267,0.0,0.0,0.0,0,0,100.0,0,0
2,2732106289045616718,0.0,0.0,0.0,714769,69.2,0,0.0,0.3,0,287384.0,0.0,6789,0,0.0,71846,0.0,0.0,0.0,0,0,100.0,0,0
3,2732106289045616718,0.0,0.0,0.0,618152,67.9,0,0.0,0.3,0,298772.0,0.0,4885,0,0.0,74693,0.0,0.0,0.0,0,0,100.0,0,0
4,2732106289045616718,0.0,0.0,0.0,685365,65.5,0,0.0,0.3,0,321164.0,0.0,8240,0,0.0,80291,0.0,0.0,0.0,0,0,100.0,0,0
5,2732106289045616718,0.0,0.0,0.0,678089,64.6,0,0.0,0.3,0,330092.0,0.0,4602,0,0.0,82523,0.0,0.0,0.0,0,0,100.0,0,0
6,2732106289045616718,0.0,0.0,0.0,626705,61.7,0,0.0,0.3,0,356928.0,0.0,11187,0,0.0,89232,0.0,0.0,0.0,0,0,100.0,0,0
7,2732106289045616718,0.0,0.0,0.0,658899,59.9,0,0.0,0.4,0,373332.0,0.0,6298,0,0.0,93333,0.0,0.0,0.0,0,0,100.0,0,0
8,2732106289045616718,0.0,0.0,0.0,617516,58.8,0,0.0,0.4,0,384440.0,0.0,5016,0,0.0,96110,0.0,0.0,0.0,0,0,100.0,0,0
9,2732106289045616718,0.0,0.0,0.0,692221,57.4,0,0.0,0.4,0,397232.0,0.0,4990,0,0.0,99308,0.0,0.0,0.0,0,0,100.0,0,0
10,2732106289045616718,0.0,0.0,0.0,697674,57.4,0,0.0,0.4,0,397232.0,0.0,0,0,0.0,99308,0.0,0.0,0.0,0,0,100.0,0,0
11,2732106289045616718,0.0,0.0,0.0,657676,56.6,0,0.0,0.4,0,404112.0,0.0,3112,0,0.0,101028,0.0,0.0,0.0,0,0,100.0,0,0
12,2732106289045616718,0.0,0.0,0.0,652234,53.4,0,0.0,0.4,0,434004.0,0.0,12339,0,0.0,108501,0.0,0.0,0.0,0,0,100.0,0,0
13,2732106289045616718,0.0,0.0,0.0,662481,51.7,0,0.0,0.4,0,449976.0,0.0,6449,0,0.0,112494,0.0,0.0,0.0,0,0,100.0,0,0
14,2732106289045616718,0.0,0.0,0.0,655799,50.7,0,0.0,0.4,0,459924.0,0.0,4474,0,0.0,114981,0.0,0.0,0.0,0,0,100.0,0,0
15,2732106289045616718,0.0,0.0,0.0,678174,49.2,0,0.0,0.5,0,473136.0,0.0,5443,0,0.0,118284,0.0,0.0,0.0,0,0,100.0,0,0
16,2732106289045616718,0.0,0.0,0.0,710615,49.2,0,0.0,0.5,0,473136.0,0.0,0,0,0.0,118284,0.0,0.0,0.0,0,0,100.0,0,0
17,2732106289045616718,0.0,0.0,0.0,703381,48.6,0,0.0,0.5,0,479068.0,0.0,2578,0,0.0,119767,0.0,0.0,0.0,0,0,100.0,0,0
18,2732106289045616718,0.0,0.0,0.0,747185,45.1,0,0.0,0.5,0,511852.0,0.0,13507,0,0.0,127963,0.0,0.0,0.0,0,0,100.0,0,0
19,2732106289045616718,0.0,0.0,0.0,645352,43.8,0,0.0,0.5,0,523856.0,0.0,5029,0,0.0,130964,0.0,0.0,0.0,0,0,100.0,0,0
20,2732106289045616718,0.0,0.0,0.0,696217,41.1,0,0.0,0.5,0,548576.0,0.0,9641,0,0.0,137144,0.0,0.0,0.0,0,0,100.0,0,0
21,2732106289045616718,0.0,0.0,0.0,639776,41.1,0,0.0,0.5,0,548576.0,0.0,0,0,0.0,137144,0.0,0.0,0.0,0,0,100.0,0,0
22,2732106289045616718,0.0,0.0,0.0,679851,41.1,0,0.0,0.5,0,548576.0,0.0,0,0,0.0,137144,0.0,0.0,0.0,0,0,100.0,0,0
23,2732106289045616718,0.0,0.0,0.0,630721,41.1,0,0.0,0.5,0,548732.0,0.0,528,0,0.0,137183,0.0,0.0,0.0,0,0,100.0,0,0
24,2732106289045616718,0.0,0.0,0.0,740300,37.8,0,0.0,0.6,0,579924.0,0.0,12951,0,0.0,144981,0.0,0.0,0.0,0,0,100.0,0,0
25,2732106289045616718,0.0,0.0,0.0,708705,35.8,0,0.0,0.6,0,598524.0,0.0,7544,0,0.0,149631,0.0,0.0,0.0,0,0,100.0,0,0
26,2732106289045616718,0.0,0.0,0.0,611917,34.4,0,0.0,0.6,0,611040.0,0.0,4511,0,0.0,152760,0.0,0.0,0.0,0,0,100.0,0,0
27,2732106289045616718,0.0,0.0,0.0,681914,33.0,0,0.0,0.6,0,624756.0,0.0,6077,0,0.0,156189,0.0,0.0,0.0,0,0,100.0,0,0
28,2732106289045616718,0.0,0.0,0.0,629893,33.0,0,0.0,0.6,0,624756.0,0.0,0,0,0.0,156189,0.0,0.0,0.0,0,0,100.0,0,0
29,2732106289045616718,0.0,0.0,0.0,635966,32.9,0,0.0,0.6,0,625188.0,0.0,576,0,0.0,156297,0.0,0.0,0.0,0,0,100.0,0,0
30,2732106289045616718,0.0,0.0,0.0,704809,29.8,0,0.0,0.6,0,654772.0,0.0,11879,0,0.0,163693,0.0,0.0,0.0,0,0,100.0,0,0
31,2732106289045616718,0.0,0.0,0.0,653182,28.2,0,0.0,0.6,0,669308.0,0.0,6324,0,0.0,167327,0.0,0.0,0.0,0,0,100.0,0,0
32,2732106289045616718,0.0,0.0,0.0,714735,25.8,0,0.0,0.7,0,691624.0,0.0,8644,0,0.0,172906,0.0,0.0,0.0,0,0,100.0,0,0
33,2732106289045616718,0.0,0.0,0.0,732970,24.4,0,0.0,0.7,0,704696.0,0.0,5188,0,0.0,176174,0.0,0.0,0.0,0,0,100.0,0,0
34,2732106289045616718,0.0,0.0,0.0,684503,24.4,0,0.0,0.7,0,704696.0,0.0,0,0,0.0,176174,0.0,0.0,0.0,0,0,100.0,0,0
35,2732106289045616718,0.0,0.0,0.0,655426,24.4,0,0.0,0.7,0,704696.0,0.0,0,0,0.0,176174,0.0,0.0,0.0,0,0,100.0,0,0
36,2732106289045616718,0.0,0.0,0.0,672441,24.4,0,0.0,0.7,0,704696.0,0.0,0,0,0.0,176174,0.0,0.0,0.0,0,0,100.0,0,0
37,2732106289045616718,0.0,0.0,0.0,584157,24.4,0,0.0,0.7,0,704696.0,0.0,0,0,0.0,176174,0.0,0.0,0.0,0,0,100.0,0,0
38,2732106289045616718,0.0,0.0,0.0,716383,24.4,0,0.0,0.7,0,704696.0,0.0,0,0,0.0,176174,0.0,0.0,0.0,0,0,100.0,0,0
0,2732106289045616718,0.0,0.0,0.0,3715651,74.3,0,0.0,0.2,0,239920.0,0.0,59980,0,0.0,59980,0.0,0.0,0.0,0,0,100.0,0,0
1,2732106289045616718,0.0,0.0,0.0,705868,70.8,0,0.0,0.3,0,272120.0,0.0,12200,0,0.0,68030,0.0,0.0,0.0,0,0,100.0,0,0
2,2732106289045616718,0.0,0.0,0.0,683471,69.0,0,0.0,0.3,0,289288.0,0.0,6462,0,0.0,72322,0.0,0.0,0.0,0,0,100.0,0,0
3,2732106289045616718,0.0,0.0,0.0,700151,67.7,0,0.0,0.3,0,301020.0,0.0,6001,0,0.0,75255,0.0,0.0,0.0,0,0,100.0,0,0
