t,c_hash,key,GHz,CPU,IPC
0,2732106289045616718,pp_0,1.0,-0.0,1.0
0,2732106289045616718,group_committer,1.0,-0.0,1.0
0,2732106289045616718,worker_3,1.0,-0.0,1.0
0,2732106289045616718,worker_2,1.0,-0.0,1.0
0,2732106289045616718,worker_1,1.0,-0.0,1.0
0,2732106289045616718,worker_0,1.0,-0.0,1.0
1,2732106289045616718,pp_0,1.0,-0.0,1.0
1,2732106289045616718,group_committer,1.0,-0.0,1.0
1,2732106289045616718,worker_3,1.0,-0.0,1.0
1,2732106289045616718,worker_2,1.0,-0.0,1.0
1,2732106289045616718,worker_1,1.0,-0.0,1.0
1,2732106289045616718,worker_0,1.0,-0.0,1.0
2,2732106289045616718,pp_0,1.0,-0.0,1.0
2,2732106289045616718,group_committer,1.0,-0.0,1.0
2,2732106289045616718,worker_3,1.0,-0.0,1.0
2,2732106289045616718,worker_2,1.0,-0.0,1.0
2,2732106289045616718,worker_1,1.0,-0.0,1.0
2,2732106289045616718,worker_0,1.0,-0.0,1.0
3,2732106289045616718,pp_0,1.0,-0.0,1.0
3,2732106289045616718,group_committer,1.0,-0.0,1.0
3,2732106289045616718,worker_3,1.0,-0.0,1.0
3,2732106289045616718,worker_2,1.0,-0.0,1.0
3,2732106289045616718,worker_1,1.0,-0.0,1.0
3,2732106289045616718,worker_0,1.0,-0.0,1.0
4,2732106289045616718,pp_0,1.0,-0.0,1.0
4,2732106289045616718,group_committer,1.0,-0.0,1.0
4,2732106289045616718,worker_3,1.0,-0.0,1.0
4,2732106289045616718,worker_2,1.0,-0.0,1.0
4,2732106289045616718,worker_1,1.0,-0.0,1.0
4,2732106289045616718,worker_0,1.0,-0.0,1.0
5,2732106289045616718,pp_0,1.0,-0.0,1.0
5,2732106289045616718,group_committer,1.0,-0.0,1.0
5,2732106289045616718,worker_3,1.0,-0.0,1.0
5,2732106289045616718,worker_2,1.0,-0.0,1.0
5,2732106289045616718,worker_1,1.0,-0.0,1.0
5,2732106289045616718,worker_0,1.0,-0.0,1.0
6,2732106289045616718,pp_0,1.0,-0.0,1.0
6,2732106289045616718,group_committer,1.0,-0.0,1.0
6,2732106289045616718,worker_3,1.0,-0.0,1.0
6,2732106289045616718,worker_2,1.0,-0.0,1.0
6,2732106289045616718,worker_1,1.0,-0.0,1.0
6,2732106289045616718,worker_0,1.0,-0.0,1.0
7,2732106289045616718,pp_0,1.0,-0.0,1.0
7,2732106289045616718,group_committer,1.0,-0.0,1.0
7,2732106289045616718,worker_3,1.0,-0.0,1.0
7,2732106289045616718,worker_2,1.0,-0.0,1.0
7,2732106289045616718,worker_1,1.0,-0.0,1.0
7,2732106289045616718,worker_0,1.0,-0.0,1.0
8,2732106289045616718,pp_0,1.0,-0.0,1.0
8,2732106289045616718,group_committer,1.0,-0.0,1.0
8,2732106289045616718,worker_3,1.0,-0.0,1.0
8,2732106289045616718,worker_2,1.0,-0.0,1.0
8,2732106289045616718,worker_1,1.0,-0.0,1.0
8,2732106289045616718,worker_0,1.0,-0.0,1.0
9,2732106289045616718,pp_0,1.0,-0.0,1.0
9,2732106289045616718,group_committer,1.0,-0.0,1.0
9,2732106289045616718,worker_3,1.0,-0.0,1.0
9,2732106289045616718,worker_2,1.0,-0.0,1.0
9,2732106289045616718,worker_1,1.0,-0.0,1.0
9,2732106289045616718,worker_0,1.0,-0.0,1.0
10,2732106289045616718,pp_0,1.0,-0.0,1.0
10,2732106289045616718,group_committer,1.0,-0.0,1.0
10,2732106289045616718,worker_3,1.0,-0.0,1.0
10,2732106289045616718,worker_2,1.0,-0.0,1.0
10,2732106289045616718,worker_1,1.0,-0.0,1.0
10,2732106289045616718,worker_0,1.0,-0.0,1.0
11,2732106289045616718,pp_0,1.0,-0.0,1.0
11,2732106289045616718,group_committer,1.0,-0.0,1.0
11,2732106289045616718,worker_3,1.0,-0.0,1.0
11,2732106289045616718,worker_2,1.0,-0.0,1.0
11,2732106289045616718,worker_1,1.0,-0.0,1.0
11,2732106289045616718,worker_0,1.0,-0.0,1.0
12,2732106289045616718,pp_0,1.0,-0.0,1.0
12,2732106289045616718,group_committer,1.0,-0.0,1.0
12,2732106289045616718,worker_3,1.0,-0.0,1.0
12,2732106289045616718,worker_2,1.0,-0.0,1.0
12,2732106289045616718,worker_1,1.0,-0.0,1.0
12,2732106289045616718,worker_0,1.0,-0.0,1.0
13,2732106289045616718,pp_0,1.0,-0.0,1.0
13,2732106289045616718,group_committer,1.0,-0.0,1.0
13,2732106289045616718,worker_3,1.0,-0.0,1.0
13,2732106289045616718,worker_2,1.0,-0.0,1.0
13,2732106289045616718,worker_1,1.0,-0.0,1.0
13,2732106289045616718,worker_0,1.0,-0.0,1.0
14,2732106289045616718,pp_0,1.0,-0.0,1.0
14,2732106289045616718,group_committer,1.0,-0.0,1.0
14,2732106289045616718,worker_3,1.0,-0.0,1.0
14,2732106289045616718,worker_2,1.0,-0.0,1.0
14,2732106289045616718,worker_1,1.0,-0.0,1.0
14,2732106289045616718,worker_0,1.0,-0.0,1.0
15,2732106289045616718,pp_0,1.0,-0.0,1.0
15,2732106289045616718,group_committer,1.0,-0.0,1.0
15,2732106289045616718,worker_3,1.0,-0.0,1.0
15,2732106289045616718,worker_2,1.0,-0.0,1.0
15,2732106289045616718,worker_1,1.0,-0.0,1.0
15,2732106289045616718,worker_0,1.0,-0.0,1.0
16,2732106289045616718,pp_0,1.0,-0.0,1.0
16,2732106289045616718,group_committer,1.0,-0.0,1.0
16,2732106289045616718,worker_3,1.0,-0.0,1.0
16,2732106289045616718,worker_2,1.0,-0.0,1.0
16,2732106289045616718,worker_1,1.0,-0.0,1.0
16,2732106289045616718,worker_0,1.0,-0.0,1.0
17,2732106289045616718,pp_0,1.0,-0.0,1.0
17,2732106289045616718,group_committer,1.0,-0.0,1.0
17,2732106289045616718,worker_3,1.0,-0.0,1.0
17,2732106289045616718,worker_2,1.0,-0.0,1.0
17,2732106289045616718,worker_1,1.0,-0.0,1.0
17,2732106289045616718,worker_0,1.0,-0.0,1.0
18,2732106289045616718,pp_0,1.0,-0.0,1.0
18,2732106289045616718,group_committer,1.0,-0.0,1.0
18,2732106289045616718,worker_3,1.0,-0.0,1.0
18,2732106289045616718,worker_2,1.0,-0.0,1.0
18,2732106289045616718,worker_1,1.0,-0.0,1.0
18,2732106289045616718,worker_0,1.0,-0.0,1.0
19,2732106289045616718,pp_0,1.0,-0.0,1.0
19,2732106289045616718,group_committer,1.0,-0.0,1.0
19,2732106289045616718,worker_3,1.0,-0.0,1.0
19,2732106289045616718,worker_2,1.0,-0.0,1.0
19,2732106289045616718,worker_1,1.0,-0.0,1.0
19,2732106289045616718,worker_0,1.0,-0.0,1.0
20,2732106289045616718,pp_0,1.0,-0.0,1.0
20,2732106289045616718,group_committer,1.0,-0.0,1.0
20,2732106289045616718,worker_3,1.0,-0.0,1.0
20,2732106289045616718,worker_2,1.0,-0.0,1.0
20,2732106289045616718,worker_1,1.0,-0.0,1.0
20,2732106289045616718,worker_0,1.0,-0.0,1.0
21,2732106289045616718,pp_0,1.0,-0.0,1.0
21,2732106289045616718,group_committer,1.0,-0.0,1.0
21,2732106289045616718,worker_3,1.0,-0.0,1.0
21,2732106289045616718,worker_2,1.0,-0.0,1.0
21,2732106289045616718,worker_1,1.0,-0.0,1.0
21,2732106289045616718,worker_0,1.0,-0.0,1.0
22,2732106289045616718,pp_0,1.0,-0.0,1.0
22,2732106289045616718,group_committer,1.0,-0.0,1.0
22,2732106289045616718,worker_3,1.0,-0.0,1.0
22,2732106289045616718,worker_2,1.0,-0.0,1.0
22,2732106289045616718,worker_1,1.0,-0.0,1.0
22,2732106289045616718,worker_0,1.0,-0.0,1.0
23,2732106289045616718,pp_0,1.0,-0.0,1.0
23,2732106289045616718,group_committer,1.0,-0.0,1.0
23,2732106289045616718,worker_3,1.0,-0.0,1.0
23,2732106289045616718,worker_2,1.0,-0.0,1.0
23,2732106289045616718,worker_1,1.0,-0.0,1.0
23,2732106289045616718,worker_0,1.0,-0.0,1.0
24,2732106289045616718,pp_0,1.0,-0.0,1.0
24,2732106289045616718,group_committer,1.0,-0.0,1.0
24,2732106289045616718,worker_3,1.0,-0.0,1.0
24,2732106289045616718,worker_2,1.0,-0.0,1.0
24,2732106289045616718,worker_1,1.0,-0.0,1.0
24,2732106289045616718,worker_0,1.0,-0.0,1.0
25,2732106289045616718,pp_0,1.0,-0.0,1.0
25,2732106289045616718,group_committer,1.0,-0.0,1.0
25,2732106289045616718,worker_3,1.0,-0.0,1.0
25,2732106289045616718,worker_2,1.0,-0.0,1.0
25,2732106289045616718,worker_1,1.0,-0.0,1.0
25,2732106289045616718,worker_0,1.0,-0.0,1.0
26,2732106289045616718,pp_0,1.0,-0.0,1.0
26,2732106289045616718,group_committer,1.0,-0.0,1.0
26,2732106289045616718,worker_3,1.0,-0.0,1.0
26,2732106289045616718,worker_2,1.0,-0.0,1.0
26,2732106289045616718,worker_1,1.0,-0.0,1.0
26,2732106289045616718,worker_0,1.0,-0.0,1.0
27,2732106289045616718,pp_0,1.0,-0.0,1.0
27,2732106289045616718,group_committer,1.0,-0.0,1.0
27,2732106289045616718,worker_3,1.0,-0.0,1.0
27,2732106289045616718,worker_2,1.0,-0.0,1.0
27,2732106289045616718,worker_1,1.0,-0.0,1.0
27,2732106289045616718,worker_0,1.0,-0.0,1.0
28,2732106289045616718,pp_0,1.0,-0.0,1.0
28,2732106289045616718,group_committer,1.0,-0.0,1.0
28,2732106289045616718,worker_3,1.0,-0.0,1.0
28,2732106289045616718,worker_2,1.0,-0.0,1.0
28,2732106289045616718,worker_1,1.0,-0.0,1.0
28,2732106289045616718,worker_0,1.0,-0.0,1.0
29,2732106289045616718,pp_0,1.0,-0.0,1.0
29,2732106289045616718,group_committer,1.0,-0.0,1.0
29,2732106289045616718,worker_3,1.0,-0.0,1.0
29,2732106289045616718,worker_2,1.0,-0.0,1.0
29,2732106289045616718,worker_1,1.0,-0.0,1.0
29,2732106289045616718,worker_0,1.0,-0.0,1.0
30,2732106289045616718,pp_0,1.0,-0.0,1.0
30,2732106289045616718,group_committer,1.0,-0.0,1.0
30,2732106289045616718,worker_3,1.0,-0.0,1.0
30,2732106289045616718,worker_2,1.0,-0.0,1.0
30,2732106289045616718,worker_1,1.0,-0.0,1.0
30,2732106289045616718,worker_0,1.0,-0.0,1.0
31,2732106289045616718,pp_0,1.0,-0.0,1.0
31,2732106289045616718,group_committer,1.0,-0.0,1.0
31,2732106289045616718,worker_3,1.0,-0.0,1.0
31,2732106289045616718,worker_2,1.0,-0.0,1.0
31,2732106289045616718,worker_1,1.0,-0.0,1.0
31,2732106289045616718,worker_0,1.0,-0.0,1.0
32,2732106289045616718,pp_0,1.0,-0.0,1.0
32,2732106289045616718,group_committer,1.0,-0.0,1.0
32,2732106289045616718,worker_3,1.0,-0.0,1.0
32,2732106289045616718,worker_2,1.0,-0.0,1.0
32,2732106289045616718,worker_1,1.0,-0.0,1.0
32,2732106289045616718,worker_0,1.0,-0.0,1.0
33,2732106289045616718,pp_0,1.0,-0.0,1.0
33,2732106289045616718,group_committer,1.0,-0.0,1.0
33,2732106289045616718,worker_3,1.0,-0.0,1.0
33,2732106289045616718,worker_2,1.0,-0.0,1.0
33,2732106289045616718,worker_1,1.0,-0.0,1.0
33,2732106289045616718,worker_0,1.0,-0.0,1.0
34,2732106289045616718,pp_0,1.0,-0.0,1.0
34,2732106289045616718,group_committer,1.0,-0.0,1.0
34,2732106289045616718,worker_3,1.0,-0.0,1.0
34,2732106289045616718,worker_2,1.0,-0.0,1.0
34,2732106289045616718,worker_1,1.0,-0.0,1.0
34,2732106289045616718,worker_0,1.0,-0.0,1.0
35,2732106289045616718,pp_0,1.0,-0.0,1.0
35,2732106289045616718,group_committer,1.0,-0.0,1.0
35,2732106289045616718,worker_3,1.0,-0.0,1.0
35,2732106289045616718,worker_2,1.0,-0.0,1.0
35,2732106289045616718,worker_1,1.0,-0.0,1.0
35,2732106289045616718,worker_0,1.0,-0.0,1.0
36,2732106289045616718,pp_0,1.0,-0.0,1.0
36,2732106289045616718,group_committer,1.0,-0.0,1.0
36,2732106289045616718,worker_3,1.0,-0.0,1.0
36,2732106289045616718,worker_2,1.0,-0.0,1.0
36,2732106289045616718,worker_1,1.0,-0.0,1.0
36,2732106289045616718,worker_0,1.0,-0.0,1.0
37,2732106289045616718,pp_0,1.0,-0.0,1.0
37,2732106289045616718,group_committer,1.0,-0.0,1.0
37,2732106289045616718,worker_3,1.0,-0.0,1.0
37,2732106289045616718,worker_2,1.0,-0.0,1.0
37,2732106289045616718,worker_1,1.0,-0.0,1.0
37,2732106289045616718,worker_0,1.0,-0.0,1.0
38,2732106289045616718,pp_0,1.0,-0.0,1.0
38,2732106289045616718,group_committer,1.0,-0.0,1.0
38,2732106289045616718,worker_3,1.0,-0.0,1.0
38,2732106289045616718,worker_2,1.0,-0.0,1.0
38,2732106289045616718,worker_1,1.0,-0.0,1.0
38,2732106289045616718,worker_0,1.0,-0.0,1.0
0,2732106289045616718,pp_0,1.0,-0.0,1.0
0,2732106289045616718,group_committer,1.0,-0.0,1.0
0,2732106289045616718,worker_3,1.0,-0.0,1.0
0,2732106289045616718,worker_2,1.0,-0.0,1.0
0,2732106289045616718,worker_1,1.0,-0.0,1.0
0,2732106289045616718,worker_0,1.0,-0.0,1.0
1,2732106289045616718,pp_0,1.0,-0.0,1.0
1,2732106289045616718,group_committer,1.0,-0.0,1.0
1,2732106289045616718,worker_3,1.0,-0.0,1.0
1,2732106289045616718,worker_2,1.0,-0.0,1.0
1,2732106289045616718,worker_1,1.0,-0.0,1.0
1,2732106289045616718,worker_0,1.0,-0.0,1.0
2,2732106289045616718,pp_0,1.0,-0.0,1.0
2,2732106289045616718,group_committer,1.0,-0.0,1.0
2,2732106289045616718,worker_3,1.0,-0.0,1.0
2,2732106289045616718,worker_2,1.0,-0.0,1.0
2,2732106289045616718,worker_1,1.0,-0.0,1.0
2,2732106289045616718,worker_0,1.0,-0.0,1.0
3,2732106289045616718,pp_0,1.0,-0.0,1.0
3,2732106289045616718,group_committer,1.0,-0.0,1.0
3,2732106289045616718,worker_3,1.0,-0.0,1.0
3,2732106289045616718,worker_2,1.0,-0.0,1.0
3,2732106289045616718,worker_1,1.0,-0.0,1.0
3,2732106289045616718,worker_0,1.0,-0.0,1.0
4,2732106289045616718,pp_0,1.0,-0.0,1.0
4,2732106289045616718,group_committer,1.0,-0.0,1.0
4,2732106289045616718,worker_3,1.0,-0.0,1.0
4,2732106289045616718,worker_2,1.0,-0.0,1.0
4,2732106289045616718,worker_1,1.0,-0.0,1.0
4,2732106289045616718,worker_0,1.0,-0.0,1.0
5,2732106289045616718,pp_0,1.0,-0.0,1.0
5,2732106289045616718,group_committer,1.0,-0.0,1.0
5,2732106289045616718,worker_3,1.0,-0.0,1.0
5,2732106289045616718,worker_2,1.0,-0.0,1.0
5,2732106289045616718,worker_1,1.0,-0.0,1.0
5,2732106289045616718,worker_0,1.0,-0.0,1.0
6,2732106289045616718,pp_0,1.0,-0.0,1.0
6,2732106289045616718,group_committer,1.0,-0.0,1.0
6,2732106289045616718,worker_3,1.0,-0.0,1.0
6,2732106289045616718,worker_2,1.0,-0.0,1.0
6,2732106289045616718,worker_1,1.0,-0.0,1.0
6,2732106289045616718,worker_0,1.0,-0.0,1.0
7,2732106289045616718,pp_0,1.0,-0.0,1.0
7,2732106289045616718,group_committer,1.0,-0.0,1.0
7,2732106289045616718,worker_3,1.0,-0.0,1.0
7,2732106289045616718,worker_2,1.0,-0.0,1.0
7,2732106289045616718,worker_1,1.0,-0.0,1.0
7,2732106289045616718,worker_0,1.0,-0.0,1.0
8,2732106289045616718,pp_0,1.0,-0.0,1.0
8,2732106289045616718,group_committer,1.0,-0.0,1.0
8,2732106289045616718,worker_3,1.0,-0.0,1.0
8,2732106289045616718,worker_2,1.0,-0.0,1.0
8,2732106289045616718,worker_1,1.0,-0.0,1.0
8,2732106289045616718,worker_0,1.0,-0.0,1.0
9,2732106289045616718,pp_0,1.0,-0.0,1.0
9,2732106289045616718,group_committer,1.0,-0.0,1.0
9,2732106289045616718,worker_3,1.0,-0.0,1.0
9,2732106289045616718,worker_2,1.0,-0.0,1.0
9,2732106289045616718,worker_1,1.0,-0.0,1.0
9,2732106289045616718,worker_0,1.0,-0.0,1.0
10,2732106289045616718,pp_0,1.0,-0.0,1.0
10,2732106289045616718,group_committer,1.0,-0.0,1.0
10,2732106289045616718,worker_3,1.0,-0.0,1.0
10,2732106289045616718,worker_2,1.0,-0.0,1.0
10,2732106289045616718,worker_1,1.0,-0.0,1.0
10,2732106289045616718,worker_0,1.0,-0.0,1.0
11,2732106289045616718,pp_0,1.0,-0.0,1.0
11,2732106289045616718,group_committer,1.0,-0.0,1.0
11,2732106289045616718,worker_3,1.0,-0.0,1.0
11,2732106289045616718,worker_2,1.0,-0.0,1.0
11,2732106289045616718,worker_1,1.0,-0.0,1.0
11,2732106289045616718,worker_0,1.0,-0.0,1.0
12,2732106289045616718,pp_0,1.0,-0.0,1.0
12,2732106289045616718,group_committer,1.0,-0.0,1.0
12,2732106289045616718,worker_3,1.0,-0.0,1.0
12,2732106289045616718,worker_2,1.0,-0.0,1.0
12,2732106289045616718,worker_1,1.0,-0.0,1.0
12,2732106289045616718,worker_0,1.0,-0.0,1.0
13,2732106289045616718,pp_0,1.0,-0.0,1.0
13,2732106289045616718,group_committer,1.0,-0.0,1.0
13,2732106289045616718,worker_3,1.0,-0.0,1.0
