t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,1,6.4,0,0,0.0,93.6,0,0,0,0,1,0,411,0,0,0.0,0,0,0.1,0,-nan,0.1,0,434,0,-nan,0,79,0.0,0,0
1,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,5791,3.8,0,0,0.0,96.2,0,0,0,0,3982,0,1660,0,0,0.0,0,0,0.0,0,-nan,0.0,0,23435,209579,-nan,0,2,0.0,0,0
2,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,3206,7.5,0,0,0.0,92.4,0,0,0,0,16861,0,1281,0,0,0.0,0,0,0.0,0,-nan,0.0,0,12511,149925,-nan,0,2,0.0,0,0
3,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,1959,10.2,0,0,0.0,89.8,0,0,0,0,14221,0,986,0,0,0.0,0,0,0.0,0,-nan,0.0,0,9137,97754,-nan,0,1,0.0,0,0
4,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,4430,2.6,0,0,0.0,97.3,0,0,0,0,7005,0,1423,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14947,126623,-nan,0,1,0.0,0,0
5,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2010,3.9,0,0,0.0,96.1,0,0,0,0,18455,0,1103,0,0,0.0,0,0,0.0,0,-nan,0.0,0,8475,110647,-nan,0,2,0.0,0,0
6,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,5216,5.8,0,0,0.0,94.2,0,0,0,0,11624,0,2195,0,0,0.0,0,0,0.0,0,-nan,0.0,0,20251,213891,-nan,0,2,0.0,0,0
7,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2966,11.7,0,0,0.0,88.3,0,0,0,0,10170,0,1492,0,0,0.0,0,0,0.0,0,-nan,0.0,0,11519,103542,-nan,0,1,0.0,0,0
8,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2390,5.5,0,0,0.0,94.5,0,0,0,0,18135,0,1288,0,0,0.0,0,0,0.0,0,-nan,0.0,0,9267,106742,-nan,0,2,0.0,0,0
9,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2244,-nan,0,0,-nan,-nan,0,0,0,0,0,0,1042,0,0,0.0,0,0,0.0,0,-nan,0.0,0,9295,85828,-nan,0,0,0.0,0,0
10,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
11,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,1606,3.6,0,0,0.0,96.3,0,0,0,0,18828,0,720,0,0,0.0,0,0,0.0,0,-nan,0.0,0,5668,65901,-nan,0,2,0.0,0,0
12,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,5875,7.4,0,0,0.0,92.6,0,0,0,0,10502,0,2453,0,0,0.0,0,0,0.0,0,-nan,0.0,0,22501,231491,-nan,0,2,0.0,0,0
13,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,3176,3.0,0,0,0.0,97.0,0,0,0,0,11571,0,1297,0,0,0.0,0,0,0.0,0,-nan,0.0,0,11721,117395,-nan,0,1,0.0,0,0
14,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,1921,4.8,0,0,0.0,95.2,0,0,0,0,17881,0,1052,0,0,0.0,0,0,0.0,0,-nan,0.0,0,8565,95104,-nan,0,2,0.0,0,0
15,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2336,-nan,0,0,-nan,-nan,0,0,0,0,0,0,1135,0,0,0.0,0,0,0.0,0,-nan,0.0,0,10210,102213,-nan,0,0,0.0,0,0
16,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
17,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,1223,2.4,0,0,0.0,97.6,0,0,0,0,18732,0,594,0,0,0.0,0,0,0.0,0,-nan,0.0,0,4760,52996,-nan,0,2,0.0,0,0
18,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,6200,7.0,0,0,0.0,93.0,0,0,0,0,11266,0,2930,0,0,0.0,0,0,0.0,0,-nan,0.1,0,24999,254166,-nan,0,4,0.0,0,0
19,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2267,7.7,0,0,0.0,92.3,0,0,0,0,18135,0,611,0,0,0.0,0,0,0.0,0,-nan,0.0,0,9335,95652,-nan,0,2,0.0,0,0
20,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,4466,4.3,0,0,0.0,95.7,0,0,0,0,8796,0,1494,0,0,0.0,0,0,0.0,0,-nan,0.0,0,18016,164545,-nan,0,1,0.0,0,0
21,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
22,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
23,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,269,1.2,0,0,0.0,98.8,0,0,0,0,9559,0,121,0,0,0.0,0,0,0.0,0,-nan,0.0,0,953,22144,-nan,0,1,0.0,0,0
24,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,6258,6.3,0,0,0.0,93.7,0,0,0,0,19253,0,1917,0,0,0.0,0,0,0.0,0,-nan,0.0,0,23136,246664,-nan,0,4,0.0,0,0
25,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,3648,5.8,0,0,0.0,94.2,0,0,0,0,10126,0,1225,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14058,137350,-nan,0,1,0.0,0,0
26,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2122,3.8,0,0,0.0,96.1,0,0,0,0,7055,0,1289,0,0,0.0,0,0,0.0,0,-nan,0.0,0,8436,64124,-nan,0,1,0.0,0,0
27,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2916,4.3,0,0,0.0,95.7,0,0,0,0,12535,0,1287,0,0,0.0,0,0,0.0,0,-nan,0.0,0,10999,126778,-nan,0,1,0.0,0,0
28,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
29,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,199,0.6,0,0,0.0,99.4,0,0,0,0,6956,0,231,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1123,23922,-nan,0,1,0.0,0,0
30,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,4899,12.0,0,0,0.0,88.0,0,0,0,0,15949,0,2501,0,0,0.0,0,0,0.0,0,-nan,0.0,0,21923,213040,-nan,0,2,0.0,0,0
31,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2932,6.0,0,0,0.0,94.0,0,0,0,0,18146,0,1533,0,0,0.0,0,0,0.0,0,-nan,0.0,0,12095,125899,-nan,0,2,0.0,0,0
32,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,5178,12.6,0,0,0.0,87.4,0,0,0,0,7585,0,858,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14713,146501,-nan,0,1,0.0,0,0
33,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,2448,6.4,0,0,0.0,93.6,0,0,0,0,10445,0,1383,0,0,0.0,0,0,0.0,0,-nan,0.0,0,9687,91183,-nan,0,1,0.0,0,0
34,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
35,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
36,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
37,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
38,2732106289045616718,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,-nan,0.0,0,0,0,-nan,0,0,0.0,0,0
