t,c_hash,r_mib,w_mib,submit_ms,rounds,free_pct,touches,iterate_children_pct,space_usage_gib,key,space_usage_kib,p2_pct,allocate_ops,unswizzled,evicted_mib,consumed_pages,poll_pct,p3_pct,find_parent_pct,async_mb_ws,pc1,p1_pct,pc2,pc3
0,5906883844358082901,0.0,0.0,0.0,1313444,74.2,0,0.0,0.2,0,240328.0,0.0,60082,0,0.0,60082,0.0,0.0,0.0,0,0,100.0,0,0
1,5906883844358082901,0.0,0.0,0.0,748275,69.4,0,0.0,0.3,0,284788.0,0.0,18660,0,0.0,71197,0.0,0.0,0.0,0,0,100.0,0,0
2,5906883844358082901,0.0,0.0,0.0,749696,65.1,0,0.0,0.3,0,325560.0,0.0,16839,0,0.0,81390,0.0,0.0,0.0,0,0,100.0,0,0
3,5906883844358082901,0.0,0.0,0.0,750607,60.4,0,0.0,0.4,0,368800.0,0.0,18049,0,0.0,92200,0.0,0.0,0.0,0,0,100.0,0,0
4,5906883844358082901,0.0,0.0,0.0,755120,55.7,0,0.0,0.4,0,412644.0,0.0,18210,0,0.0,103161,0.0,0.0,0.0,0,0,100.0,0,0
5,5906883844358082901,0.0,0.0,0.0,752736,51.2,0,0.0,0.4,0,455008.0,0.0,17718,0,0.0,113752,0.0,0.0,0.0,0,0,100.0,0,0
6,5906883844358082901,0.0,0.0,0.0,751182,46.5,0,0.0,0.5,0,498768.0,0.0,18372,0,0.0,124692,0.0,0.0,0.0,0,0,100.0,0,0
7,5906883844358082901,0.0,0.0,0.0,747414,42.1,0,0.0,0.5,0,539700.0,0.0,17009,0,0.0,134925,0.0,0.0,0.0,0,0,100.0,0,0
8,5906883844358082901,0.0,0.0,0.0,749183,37.6,0,0.0,0.6,0,581724.0,0.0,17517,0,0.0,145431,0.0,0.0,0.0,0,0,100.0,0,0
9,5906883844358082901,0.0,0.0,0.0,745348,33.0,0,0.0,0.6,0,624464.0,0.0,17755,0,0.0,156116,0.0,0.0,0.0,0,0,100.0,0,0
10,5906883844358082901,0.0,0.0,0.0,748334,28.7,0,0.0,0.6,0,664900.0,0.0,16729,0,0.0,166225,0.0,0.0,0.0,0,0,100.0,0,0
11,5906883844358082901,0.0,0.0,0.0,756582,24.0,0,0.0,0.7,0,708184.0,0.0,18096,0,0.0,177046,0.0,0.0,0.0,0,0,100.0,0,0
12,5906883844358082901,0.0,0.0,0.0,757763,19.6,0,0.0,0.7,0,749768.0,0.0,17281,0,0.0,187442,0.0,0.0,0.0,0,0,100.0,0,0
13,5906883844358082901,0.0,0.0,0.0,755221,14.9,0,0.0,0.8,0,793336.0,0.0,18057,0,0.0,198334,0.0,0.0,0.0,0,0,100.0,0,0
14,5906883844358082901,0.0,0.0,0.0,749801,10.4,0,0.0,0.8,0,835284.0,0.0,17506,0,0.0,208821,0.0,0.0,0.0,0,0,100.0,0,0
15,5906883844358082901,0.0,0.0,0.0,749424,5.8,0,0.0,0.8,0,878352.0,0.0,17809,0,0.0,219588,0.0,0.0,0.0,0,0,100.0,0,0
16,5906883844358082901,0.1,1.2,0.0,331120,0.0,12871,21321419518132624.0,0.9,0,933212.0,0.0,22723,12686,1.2,233303,0.0,0.0,23.8,0,13497,100.0,0,0
17,5906883844358082901,0.0,3.1,0.0,189,0.0,11449,33858607124299276.0,0.9,0,936408.0,0.0,1335,11277,3.1,234102,0.0,0.0,25.5,0,12264,100.0,0,0
18,5906883844358082901,0.1,3.1,0.0,120,0.0,7002,20539367863639340.0,0.9,0,939512.0,0.0,1291,6873,3.1,234878,0.0,0.0,25.2,0,7805,100.0,0,0
19,5906883844358082901,0.1,3.2,0.0,104,0.0,5937,31223145742462416.0,0.9,0,942688.0,0.0,1335,5830,3.2,235672,0.0,0.0,25.2,0,6761,100.0,0,0
20,5906883844358082901,0.1,3.3,0.0,98,0.0,5528,36023181308422864.0,0.9,0,945904.0,0.0,1349,5431,3.3,236476,0.0,0.0,25.5,0,6368,100.0,0,0
21,5906883844358082901,0.2,3.2,0.0,86,0.0,4735,48193505307422264.0,0.9,0,949040.0,0.0,1315,4665,3.2,237260,0.0,0.0,25.1,0,5570,100.0,0,0
22,5906883844358082901,0.2,3.3,0.0,76,0.0,4094,62225905554014304.0,0.9,0,952240.0,0.0,1339,4012,3.3,238060,0.0,0.0,25.3,0,4943,100.0,0,0
23,5906883844358082901,0.2,3.2,0.0,76,0.0,4107,60338063083888440.0,0.9,0,955412.0,0.0,1336,4026,3.2,238853,0.0,0.0,26.6,0,4942,100.0,0,0
24,5906883844358082901,0.2,3.3,0.0,71,0.0,3737,71008110740333672.0,0.9,0,958600.0,0.0,1340,3683,3.3,239650,0.0,0.0,26.1,0,4597,100.0,0,0
25,5906883844358082901,0.2,3.3,0.0,70,0.0,3700,72488897556686416.0,0.9,0,961752.0,0.0,1331,3622,3.3,240438,0.0,0.0,25.7,0,4555,100.0,0,0
26,5906883844358082901,0.2,3.4,0.0,68,0.0,3554,76467276718250880.0,0.9,0,965076.0,0.0,1381,3473,3.4,241269,0.0,0.0,26.2,0,4430,100.0,0,0
27,5906883844358082901,0.2,3.2,0.0,62,0.0,3204,88752489382178752.0,0.9,0,968124.0,0.0,1245,3144,3.2,242031,0.0,0.0,25.9,0,4026,100.0,0,0
28,5906883844358082901,0.2,3.2,0.0,60,0.0,3052,95948489526790048.0,0.9,0,971216.0,0.0,1275,3000,3.2,242804,0.0,0.0,26.2,0,3891,100.0,0,0
