t,c_hash,key,GHz,CPU,IPC
0,5906883844358082901,pp_0,1.0,-0.0,1.0
0,5906883844358082901,group_committer,1.0,-0.0,1.0
0,5906883844358082901,worker_1,1.0,-0.0,1.0
0,5906883844358082901,worker_2,1.0,-0.0,1.0
0,5906883844358082901,worker_3,1.0,-0.0,1.0
0,5906883844358082901,worker_0,1.0,-0.0,1.0
1,5906883844358082901,pp_0,1.0,-0.0,1.0
1,5906883844358082901,group_committer,1.0,-0.0,1.0
1,5906883844358082901,worker_1,1.0,-0.0,1.0
1,5906883844358082901,worker_2,1.0,-0.0,1.0
1,5906883844358082901,worker_3,1.0,-0.0,1.0
1,5906883844358082901,worker_0,1.0,-0.0,1.0
2,5906883844358082901,pp_0,1.0,-0.0,1.0
2,5906883844358082901,group_committer,1.0,-0.0,1.0
2,5906883844358082901,worker_1,1.0,-0.0,1.0
2,5906883844358082901,worker_2,1.0,-0.0,1.0
2,5906883844358082901,worker_3,1.0,-0.0,1.0
2,5906883844358082901,worker_0,1.0,-0.0,1.0
3,5906883844358082901,pp_0,1.0,-0.0,1.0
3,5906883844358082901,group_committer,1.0,-0.0,1.0
3,5906883844358082901,worker_1,1.0,-0.0,1.0
3,5906883844358082901,worker_2,1.0,-0.0,1.0
3,5906883844358082901,worker_3,1.0,-0.0,1.0
3,5906883844358082901,worker_0,1.0,-0.0,1.0
4,5906883844358082901,pp_0,1.0,-0.0,1.0
4,5906883844358082901,group_committer,1.0,-0.0,1.0
4,5906883844358082901,worker_1,1.0,-0.0,1.0
4,5906883844358082901,worker_2,1.0,-0.0,1.0
4,5906883844358082901,worker_3,1.0,-0.0,1.0
4,5906883844358082901,worker_0,1.0,-0.0,1.0
5,5906883844358082901,pp_0,1.0,-0.0,1.0
5,5906883844358082901,group_committer,1.0,-0.0,1.0
5,5906883844358082901,worker_1,1.0,-0.0,1.0
5,5906883844358082901,worker_2,1.0,-0.0,1.0
5,5906883844358082901,worker_3,1.0,-0.0,1.0
5,5906883844358082901,worker_0,1.0,-0.0,1.0
6,5906883844358082901,pp_0,1.0,-0.0,1.0
6,5906883844358082901,group_committer,1.0,-0.0,1.0
6,5906883844358082901,worker_1,1.0,-0.0,1.0
6,5906883844358082901,worker_2,1.0,-0.0,1.0
6,5906883844358082901,worker_3,1.0,-0.0,1.0
6,5906883844358082901,worker_0,1.0,-0.0,1.0
7,5906883844358082901,pp_0,1.0,-0.0,1.0
7,5906883844358082901,group_committer,1.0,-0.0,1.0
7,5906883844358082901,worker_1,1.0,-0.0,1.0
7,5906883844358082901,worker_2,1.0,-0.0,1.0
7,5906883844358082901,worker_3,1.0,-0.0,1.0
7,5906883844358082901,worker_0,1.0,-0.0,1.0
8,5906883844358082901,pp_0,1.0,-0.0,1.0
8,5906883844358082901,group_committer,1.0,-0.0,1.0
8,5906883844358082901,worker_1,1.0,-0.0,1.0
8,5906883844358082901,worker_2,1.0,-0.0,1.0
8,5906883844358082901,worker_3,1.0,-0.0,1.0
8,5906883844358082901,worker_0,1.0,-0.0,1.0
9,5906883844358082901,pp_0,1.0,-0.0,1.0
9,5906883844358082901,group_committer,1.0,-0.0,1.0
9,5906883844358082901,worker_1,1.0,-0.0,1.0
9,5906883844358082901,worker_2,1.0,-0.0,1.0
9,5906883844358082901,worker_3,1.0,-0.0,1.0
9,5906883844358082901,worker_0,1.0,-0.0,1.0
10,5906883844358082901,pp_0,1.0,-0.0,1.0
10,5906883844358082901,group_committer,1.0,-0.0,1.0
10,5906883844358082901,worker_1,1.0,-0.0,1.0
10,5906883844358082901,worker_2,1.0,-0.0,1.0
10,5906883844358082901,worker_3,1.0,-0.0,1.0
10,5906883844358082901,worker_0,1.0,-0.0,1.0
11,5906883844358082901,pp_0,1.0,-0.0,1.0
11,5906883844358082901,group_committer,1.0,-0.0,1.0
11,5906883844358082901,worker_1,1.0,-0.0,1.0
11,5906883844358082901,worker_2,1.0,-0.0,1.0
11,5906883844358082901,worker_3,1.0,-0.0,1.0
11,5906883844358082901,worker_0,1.0,-0.0,1.0
12,5906883844358082901,pp_0,1.0,-0.0,1.0
12,5906883844358082901,group_committer,1.0,-0.0,1.0
12,5906883844358082901,worker_1,1.0,-0.0,1.0
12,5906883844358082901,worker_2,1.0,-0.0,1.0
12,5906883844358082901,worker_3,1.0,-0.0,1.0
12,5906883844358082901,worker_0,1.0,-0.0,1.0
13,5906883844358082901,pp_0,1.0,-0.0,1.0
13,5906883844358082901,group_committer,1.0,-0.0,1.0
13,5906883844358082901,worker_1,1.0,-0.0,1.0
13,5906883844358082901,worker_2,1.0,-0.0,1.0
13,5906883844358082901,worker_3,1.0,-0.0,1.0
13,5906883844358082901,worker_0,1.0,-0.0,1.0
14,5906883844358082901,pp_0,1.0,-0.0,1.0
14,5906883844358082901,group_committer,1.0,-0.0,1.0
14,5906883844358082901,worker_1,1.0,-0.0,1.0
14,5906883844358082901,worker_2,1.0,-0.0,1.0
14,5906883844358082901,worker_3,1.0,-0.0,1.0
14,5906883844358082901,worker_0,1.0,-0.0,1.0
15,5906883844358082901,pp_0,1.0,-0.0,1.0
15,5906883844358082901,group_committer,1.0,-0.0,1.0
15,5906883844358082901,worker_1,1.0,-0.0,1.0
15,5906883844358082901,worker_2,1.0,-0.0,1.0
15,5906883844358082901,worker_3,1.0,-0.0,1.0
15,5906883844358082901,worker_0,1.0,-0.0,1.0
16,5906883844358082901,pp_0,1.0,-0.0,1.0
16,5906883844358082901,group_committer,1.0,-0.0,1.0
16,5906883844358082901,worker_1,1.0,-0.0,1.0
16,5906883844358082901,worker_2,1.0,-0.0,1.0
16,5906883844358082901,worker_3,1.0,-0.0,1.0
16,5906883844358082901,worker_0,1.0,-0.0,1.0
17,5906883844358082901,pp_0,1.0,-0.0,1.0
17,5906883844358082901,group_committer,1.0,-0.0,1.0
17,5906883844358082901,worker_1,1.0,-0.0,1.0
17,5906883844358082901,worker_2,1.0,-0.0,1.0
17,5906883844358082901,worker_3,1.0,-0.0,1.0
17,5906883844358082901,worker_0,1.0,-0.0,1.0
18,5906883844358082901,pp_0,1.0,-0.0,1.0
18,5906883844358082901,group_committer,1.0,-0.0,1.0
18,5906883844358082901,worker_1,1.0,-0.0,1.0
18,5906883844358082901,worker_2,1.0,-0.0,1.0
18,5906883844358082901,worker_3,1.0,-0.0,1.0
18,5906883844358082901,worker_0,1.0,-0.0,1.0
19,5906883844358082901,pp_0,1.0,-0.0,1.0
19,5906883844358082901,group_committer,1.0,-0.0,1.0
19,5906883844358082901,worker_1,1.0,-0.0,1.0
19,5906883844358082901,worker_2,1.0,-0.0,1.0
19,5906883844358082901,worker_3,1.0,-0.0,1.0
19,5906883844358082901,worker_0,1.0,-0.0,1.0
20,5906883844358082901,pp_0,1.0,-0.0,1.0
20,5906883844358082901,group_committer,1.0,-0.0,1.0
20,5906883844358082901,worker_1,1.0,-0.0,1.0
20,5906883844358082901,worker_2,1.0,-0.0,1.0
20,5906883844358082901,worker_3,1.0,-0.0,1.0
20,5906883844358082901,worker_0,1.0,-0.0,1.0
21,5906883844358082901,pp_0,1.0,-0.0,1.0
21,5906883844358082901,group_committer,1.0,-0.0,1.0
21,5906883844358082901,worker_1,1.0,-0.0,1.0
21,5906883844358082901,worker_2,1.0,-0.0,1.0
21,5906883844358082901,worker_3,1.0,-0.0,1.0
21,5906883844358082901,worker_0,1.0,-0.0,1.0
22,5906883844358082901,pp_0,1.0,-0.0,1.0
22,5906883844358082901,group_committer,1.0,-0.0,1.0
22,5906883844358082901,worker_1,1.0,-0.0,1.0
22,5906883844358082901,worker_2,1.0,-0.0,1.0
22,5906883844358082901,worker_3,1.0,-0.0,1.0
22,5906883844358082901,worker_0,1.0,-0.0,1.0
23,5906883844358082901,pp_0,1.0,-0.0,1.0
23,5906883844358082901,group_committer,1.0,-0.0,1.0
23,5906883844358082901,worker_1,1.0,-0.0,1.0
23,5906883844358082901,worker_2,1.0,-0.0,1.0
23,5906883844358082901,worker_3,1.0,-0.0,1.0
23,5906883844358082901,worker_0,1.0,-0.0,1.0
24,5906883844358082901,pp_0,1.0,-0.0,1.0
24,5906883844358082901,group_committer,1.0,-0.0,1.0
24,5906883844358082901,worker_1,1.0,-0.0,1.0
24,5906883844358082901,worker_2,1.0,-0.0,1.0
24,5906883844358082901,worker_3,1.0,-0.0,1.0
24,5906883844358082901,worker_0,1.0,-0.0,1.0
25,5906883844358082901,pp_0,1.0,-0.0,1.0
25,5906883844358082901,group_committer,1.0,-0.0,1.0
25,5906883844358082901,worker_1,1.0,-0.0,1.0
25,5906883844358082901,worker_2,1.0,-0.0,1.0
25,5906883844358082901,worker_3,1.0,-0.0,1.0
25,5906883844358082901,worker_0,1.0,-0.0,1.0
26,5906883844358082901,pp_0,1.0,-0.0,1.0
26,5906883844358082901,group_committer,1.0,-0.0,1.0
26,5906883844358082901,worker_1,1.0,-0.0,1.0
26,5906883844358082901,worker_2,1.0,-0.0,1.0
26,5906883844358082901,worker_3,1.0,-0.0,1.0
26,5906883844358082901,worker_0,1.0,-0.0,1.0
27,5906883844358082901,pp_0,1.0,-0.0,1.0
27,5906883844358082901,group_committer,1.0,-0.0,1.0
27,5906883844358082901,worker_1,1.0,-0.0,1.0
27,5906883844358082901,worker_2,1.0,-0.0,1.0
27,5906883844358082901,worker_3,1.0,-0.0,1.0
27,5906883844358082901,worker_0,1.0,-0.0,1.0
28,5906883844358082901,pp_0,1.0,-0.0,1.0
28,5906883844358082901,group_committer,1.0,-0.0,1.0
28,5906883844358082901,worker_1,1.0,-0.0,1.0
28,5906883844358082901,worker_2,1.0,-0.0,1.0
28,5906883844358082901,worker_3,1.0,-0.0,1.0
28,5906883844358082901,worker_0,1.0,-0.0,1.0
29,5906883844358082901,pp_0,1.0,-0.0,1.0
29,5906883844358082901,group_committer,1.0,-0.0,1.0
29,5906883844358082901,worker_1,1.0,-0.0,1.0
29,5906883844358082901,worker_2,1.0,-0.0,1.0
29,5906883844358082901,worker_3,1.0,-0.0,1.0
29,5906883844358082901,worker_0,1.0,-0.0,1.0
30,5906883844358082901,pp_0,1.0,-0.0,1.0
30,5906883844358082901,group_committer,1.0,-0.0,1.0
30,5906883844358082901,worker_1,1.0,-0.0,1.0
30,5906883844358082901,worker_2,1.0,-0.0,1.0
30,5906883844358082901,worker_3,1.0,-0.0,1.0
30,5906883844358082901,worker_0,1.0,-0.0,1.0
31,5906883844358082901,pp_0,1.0,-0.0,1.0
31,5906883844358082901,group_committer,1.0,-0.0,1.0
31,5906883844358082901,worker_1,1.0,-0.0,1.0
31,5906883844358082901,worker_2,1.0,-0.0,1.0
31,5906883844358082901,worker_3,1.0,-0.0,1.0
31,5906883844358082901,worker_0,1.0,-0.0,1.0
32,5906883844358082901,pp_0,1.0,-0.0,1.0
32,5906883844358082901,group_committer,1.0,-0.0,1.0
32,5906883844358082901,worker_1,1.0,-0.0,1.0
32,5906883844358082901,worker_2,1.0,-0.0,1.0
32,5906883844358082901,worker_3,1.0,-0.0,1.0
32,5906883844358082901,worker_0,1.0,-0.0,1.0
33,5906883844358082901,pp_0,1.0,-0.0,1.0
33,5906883844358082901,group_committer,1.0,-0.0,1.0
33,5906883844358082901,worker_1,1.0,-0.0,1.0
33,5906883844358082901,worker_2,1.0,-0.0,1.0
33,5906883844358082901,worker_3,1.0,-0.0,1.0
33,5906883844358082901,worker_0,1.0,-0.0,1.0
34,5906883844358082901,pp_0,1.0,-0.0,1.0
34,5906883844358082901,group_committer,1.0,-0.0,1.0
34,5906883844358082901,worker_1,1.0,-0.0,1.0
34,5906883844358082901,worker_2,1.0,-0.0,1.0
34,5906883844358082901,worker_3,1.0,-0.0,1.0
34,5906883844358082901,worker_0,1.0,-0.0,1.0
35,5906883844358082901,pp_0,1.0,-0.0,1.0
35,5906883844358082901,group_committer,1.0,-0.0,1.0
35,5906883844358082901,worker_1,1.0,-0.0,1.0
35,5906883844358082901,worker_2,1.0,-0.0,1.0
35,5906883844358082901,worker_3,1.0,-0.0,1.0
35,5906883844358082901,worker_0,1.0,-0.0,1.0
36,5906883844358082901,pp_0,1.0,-0.0,1.0
36,5906883844358082901,group_committer,1.0,-0.0,1.0
36,5906883844358082901,worker_1,1.0,-0.0,1.0
36,5906883844358082901,worker_2,1.0,-0.0,1.0
36,5906883844358082901,worker_3,1.0,-0.0,1.0
36,5906883844358082901,worker_0,1.0,-0.0,1.0
37,5906883844358082901,pp_0,1.0,-0.0,1.0
37,5906883844358082901,group_committer,1.0,-0.0,1.0
37,5906883844358082901,worker_1,1.0,-0.0,1.0
37,5906883844358082901,worker_2,1.0,-0.0,1.0
37,5906883844358082901,worker_3,1.0,-0.0,1.0
37,5906883844358082901,worker_0,1.0,-0.0,1.0
38,5906883844358082901,pp_0,1.0,-0.0,1.0
38,5906883844358082901,group_committer,1.0,-0.0,1.0
38,5906883844358082901,worker_1,1.0,-0.0,1.0
38,5906883844358082901,worker_2,1.0,-0.0,1.0
38,5906883844358082901,worker_3,1.0,-0.0,1.0
38,5906883844358082901,worker_0,1.0,-0.0,1.0
39,5906883844358082901,pp_0,1.0,-0.0,1.0
39,5906883844358082901,group_committer,1.0,-0.0,1.0
39,5906883844358082901,worker_1,1.0,-0.0,1.0
39,5906883844358082901,worker_2,1.0,-0.0,1.0
39,5906883844358082901,worker_3,1.0,-0.0,1.0
39,5906883844358082901,worker_0,1.0,-0.0,1.0
40,5906883844358082901,pp_0,1.0,-0.0,1.0
40,5906883844358082901,group_committer,1.0,-0.0,1.0
40,5906883844358082901,worker_1,1.0,-0.0,1.0
40,5906883844358082901,worker_2,1.0,-0.0,1.0
40,5906883844358082901,worker_3,1.0,-0.0,1.0
40,5906883844358082901,worker_0,1.0,-0.0,1.0
41,5906883844358082901,pp_0,1.0,-0.0,1.0
41,5906883844358082901,group_committer,1.0,-0.0,1.0
41,5906883844358082901,worker_1,1.0,-0.0,1.0
41,5906883844358082901,worker_2,1.0,-0.0,1.0
41,5906883844358082901,worker_3,1.0,-0.0,1.0
41,5906883844358082901,worker_0,1.0,-0.0,1.0
42,5906883844358082901,pp_0,1.0,-0.0,1.0
42,5906883844358082901,group_committer,1.0,-0.0,1.0
42,5906883844358082901,worker_1,1.0,-0.0,1.0
42,5906883844358082901,worker_2,1.0,-0.0,1.0
42,5906883844358082901,worker_3,1.0,-0.0,1.0
42,5906883844358082901,worker_0,1.0,-0.0,1.0
43,5906883844358082901,pp_0,1.0,-0.0,1.0
43,5906883844358082901,group_committer,1.0,-0.0,1.0
43,5906883844358082901,worker_1,1.0,-0.0,1.0
43,5906883844358082901,worker_2,1.0,-0.0,1.0
43,5906883844358082901,worker_3,1.0,-0.0,1.0
43,5906883844358082901,worker_0,1.0,-0.0,1.0
44,5906883844358082901,pp_0,1.0,-0.0,1.0
44,5906883844358082901,group_committer,1.0,-0.0,1.0
44,5906883844358082901,worker_1,1.0,-0.0,1.0
44,5906883844358082901,worker_2,1.0,-0.0,1.0
44,5906883844358082901,worker_3,1.0,-0.0,1.0
44,5906883844358082901,worker_0,1.0,-0.0,1.0
45,5906883844358082901,pp_0,1.0,-0.0,1.0
45,5906883844358082901,group_committer,1.0,-0.0,1.0
45,5906883844358082901,worker_1,1.0,-0.0,1.0
45,5906883844358082901,worker_2,1.0,-0.0,1.0
45,5906883844358082901,worker_3,1.0,-0.0,1.0
45,5906883844358082901,worker_0,1.0,-0.0,1.0
46,5906883844358082901,pp_0,1.0,-0.0,1.0
46,5906883844358082901,group_committer,1.0,-0.0,1.0
46,5906883844358082901,worker_1,1.0,-0.0,1.0
46,5906883844358082901,worker_2,1.0,-0.0,1.0
46,5906883844358082901,worker_3,1.0,-0.0,1.0
46,5906883844358082901,worker_0,1.0,-0.0,1.0
47,5906883844358082901,pp_0,1.0,-0.0,1.0
47,5906883844358082901,group_committer,1.0,-0.0,1.0
47,5906883844358082901,worker_1,1.0,-0.0,1.0
47,5906883844358082901,worker_2,1.0,-0.0,1.0
47,5906883844358082901,worker_3,1.0,-0.0,1.0
47,5906883844358082901,worker_0,1.0,-0.0,1.0
48,5906883844358082901,pp_0,1.0,-0.0,1.0
48,5906883844358082901,group_committer,1.0,-0.0,1.0
48,5906883844358082901,worker_1,1.0,-0.0,1.0
48,5906883844358082901,worker_2,1.0,-0.0,1.0
48,5906883844358082901,worker_3,1.0,-0.0,1.0
48,5906883844358082901,worker_0,1.0,-0.0,1.0
49,5906883844358082901,pp_0,1.0,-0.0,1.0
49,5906883844358082901,group_committer,1.0,-0.0,1.0
49,5906883844358082901,worker_1,1.0,-0.0,1.0
49,5906883844358082901,worker_2,1.0,-0.0,1.0
49,5906883844358082901,worker_3,1.0,-0.0,1.0
49,5906883844358082901,worker_0,1.0,-0.0,1.0
50,5906883844358082901,pp_0,1.0,-0.0,1.0
50,5906883844358082901,group_committer,1.0,-0.0,1.0
50,5906883844358082901,worker_1,1.0,-0.0,1.0
50,5906883844358082901,worker_2,1.0,-0.0,1.0
50,5906883844358082901,worker_3,1.0,-0.0,1.0
50,5906883844358082901,worker_0,1.0,-0.0,1.0
51,5906883844358082901,pp_0,1.0,-0.0,1.0
51,5906883844358082901,group_committer,1.0,-0.0,1.0
51,5906883844358082901,worker_1,1.0,-0.0,1.0
51,5906883844358082901,worker_2,1.0,-0.0,1.0
51,5906883844358082901,worker_3,1.0,-0.0,1.0
51,5906883844358082901,worker_0,1.0,-0.0,1.0
52,5906883844358082901,pp_0,1.0,-0.0,1.0
52,5906883844358082901,group_committer,1.0,-0.0,1.0
52,5906883844358082901,worker_1,1.0,-0.0,1.0
52,5906883844358082901,worker_2,1.0,-0.0,1.0
52,5906883844358082901,worker_3,1.0,-0.0,1.0
52,5906883844358082901,worker_0,1.0,-0.0,1.0
53,5906883844358082901,pp_0,1.0,-0.0,1.0
53,5906883844358082901,group_committer,1.0,-0.0,1.0
