t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,99.9,0,0,0,0,184,0,204,0,0,0.0,0,0,0.1,0,-nan,0.1,0,202,0,-nan,0,1044,0.0,0,0
1,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8830,2.7,0,0,0.1,97.1,0,0,0,0,34310,0,4217,0,0,0.0,0,0,0.1,0,-nan,0.1,0,34402,360979,-nan,0,9675,0.0,0,0
2,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,7776,1.4,0,0,0.2,98.4,0,0,0,0,31081,0,4281,0,0,0.0,0,0,0.1,0,-nan,0.1,0,31311,322359,-nan,0,29583,0.0,0,0
3,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,7892,1.8,0,0,0.1,98.1,0,0,0,0,33572,0,4724,0,0,0.0,0,0,0.1,0,-nan,0.1,0,33333,342529,-nan,0,16683,0.0,0,0
4,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8962,1.2,0,0,0.2,98.6,0,0,0,0,33535,0,4948,0,0,0.0,0,0,0.1,0,-nan,0.1,0,33765,347703,-nan,0,14101,0.0,0,0
5,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8391,0.1,0,0,0.4,99.5,0,0,0,0,32515,0,4780,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32505,341123,-nan,0,18278,0.0,0,0
6,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8467,1.2,0,0,0.1,98.6,0,0,0,0,34378,0,5192,0,0,0.0,0,0,0.1,0,-nan,0.1,0,34084,357224,-nan,0,5116,0.0,0,0
7,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8294,0.2,0,0,0.8,99.0,0,0,0,0,31113,0,4644,0,0,0.0,0,0,0.1,0,-nan,0.1,0,31154,325151,-nan,0,21783,0.0,0,0
8,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8023,1.5,0,0,0.1,98.4,0,0,0,0,32111,0,4814,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32101,336372,-nan,0,19250,0.0,0,0
9,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8520,2.8,0,0,0.5,96.7,0,0,0,0,32738,0,4958,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32733,339002,-nan,0,13798,0.0,0,0
10,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,7726,0.5,0,0,1.5,98.1,0,0,0,0,30529,0,4833,0,0,0.0,0,0,0.1,0,-nan,0.1,0,30717,317780,-nan,0,23935,0.0,0,0
11,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8238,0.1,0,0,0.2,99.7,0,0,0,0,33284,0,4987,0,0,0.0,0,0,0.1,0,-nan,0.1,0,33294,350113,-nan,0,12478,0.0,0,0
12,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,7691,0.1,0,0,1.0,98.8,0,0,0,0,32030,0,4846,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32005,330492,-nan,0,25411,0.0,0,0
13,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8645,0.1,0,0,0.6,99.3,0,0,0,0,33088,0,5099,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32911,342302,-nan,0,10734,0.0,0,0
14,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8617,1.3,0,0,0.2,98.5,0,0,0,0,31923,0,4911,0,0,0.0,0,0,0.1,0,-nan,0.1,0,31988,337465,-nan,0,16321,0.0,0,0
15,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,8168,0.1,0,0,0.2,99.7,0,0,0,0,32491,0,5036,0,0,0.0,0,0,0.1,0,-nan,0.1,0,32775,336466,-nan,0,14573,0.0,0,0
16,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,12223,0.1,0,0,0.4,99.5,0,0,0,0,42424,0,5447,0,0,0.0,0,0,0.1,0,-nan,0.1,0,42041,432644,-nan,0,10234,0.0,0,0
17,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,815,0.3,0,0,0.3,99.5,0,0,0,0,2542,0,464,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2547,25915,-nan,0,70392,0.0,0,0
18,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,851,0.9,0,0,1.1,98.0,0,0,0,0,2418,0,391,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2406,24996,-nan,0,80900,0.0,0,0
19,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,874,0.3,0,0,0.3,99.4,0,0,0,0,2540,0,391,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2539,26373,-nan,0,75213,0.0,0,0
20,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,984,0.3,0,0,1.0,98.7,0,0,0,0,2511,0,398,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2515,26469,-nan,0,86670,0.0,0,0
21,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,940,0.4,0,0,1.4,98.2,0,0,0,0,2430,0,399,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2433,25925,-nan,0,86705,0.0,0,0
