TPC-C loaded - consumed space in GiB = 0.226602
Warehouse pages = 1
Error opening counter cycle
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 38         | 97.3684- | 33.3333- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.2      | 92       |
| 1   | 23648      | 95.3865- | 21.2966- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.3      | 2        |
| 2   | 11673      | 89.5999- | 23.6909- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.3      | 2        |
| 3   | 11450      | 87.3187- | 21.0181- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.3      | 1        |
| 4   | 13208      | 89.0748- | 21.6746- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.3      | 1        |
| 5   | 15957      | 89.0392- | 21.4714- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.3      | 2        |
| 6   | 12694      | 86.8756- | 18.7791- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.3      | 1        |
| 7   | 8418       | 85.6854- | 20.3519- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.4      | 2        |
| 8   | 17623      | 95.3129- | 20.5276- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.4      | 1        |
