TPC-C loaded - consumed space in GiB = 0.227018
Warehouse pages = 1
Error opening counter cycle
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 202        | -        | 0.000000 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.2      | 1044     |
| 1   | 34402      | 87.7419- | 20.4246- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.3      | 9675     |
| 2   | 31311      | 86.3274- | 19.8940- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.3      | 29583    |
| 3   | 33333      | 85.8278- | 19.1437- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.4      | 16683    |
| 4   | 33765      | 85.3457- | 20.9750- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.4      | 14101    |
| 5   | 32505      | 85.2945- | 20.5178- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.4      | 18278    |
| 6   | 34084      | 84.7670- | 19.8984- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.5      | 5116     |
| 7   | 31154      | 85.0934- | 21.0251- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.5      | 21783    |
| 8   | 32101      | 85.0035- | 19.9955- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.6      | 19250    |
| 9   | 32733      | 84.8532- | 20.6530- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.6      | 13798    |
| 10  | 30717      | 84.2660- | 20.0972- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.1      | 0.1      | 0.6      | 23935    |
